period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	61.8772        	6.87334        	4.50194        	2.20877        	7.83364        	8.0482         	11.3088        
2	64.8259        	7.2603         	4.75999        	2.33734        	8.27881        	8.50176        	11.9377        
3	49.7657        	6.80033        	4.19335        	2.00175        	6.7595         	6.72221        	9.25747        
4	49.5202        	7.6954         	4.61185        	2.17583        	7.14974        	6.98962        	9.51595        
5	59.0288        	8.2499         	5.1057         	2.44475        	8.22503        	8.16624        	11.2199        
6	55.6524        	7.51421        	4.40503        	2.06172        	6.8413         	7.11792        	10.023         
7	42.6312        	6.9457         	4.08863        	1.91201        	6.21691        	6.03518        	8.18726        
8	38.8285        	8.23219        	4.55951        	2.07904        	6.40843        	6.0201         	7.99387        
9	32.0726        	7.21346        	3.96259        	1.79982        	5.5147         	5.09774        	6.71148        
10	29.1922        	7.50863        	3.99258        	1.78932        	5.34082        	4.86076        	6.3355         
11	32.1106        	10.2233        	5.14231        	2.25471        	6.41045        	5.74376        	7.39678        
12	50.4126        	12.164         	5.83182        	2.49975        	6.99437        	7.11612        	9.85028        
13	61.673         	6.1169         	4.11653        	2.04288        	7.44944        	7.78896        	11.0768        
14	55.8745        	7.72711        	4.77605        	2.28413        	7.69936        	7.6469         	10.5157        
15	60.8098        	6.33874        	4.20678        	2.07483        	7.4682         	7.74112        	10.9468        
16	54.063         	5.87851        	3.87907        	1.90577        	6.79936        	6.92978        	9.71435        
17	57.7922        	7.54139        	4.73094        	2.27706        	7.7756         	7.78644        	10.7647        
18	48.9308        	9.74099        	5.25132        	2.36696        	7.21289        	7.10096        	9.66431        
19	60.4249        	11.5095        	6.29816        	2.86338        	8.7975         	8.75545        	11.9713        
20	92.579         	8.5703         	5.25996        	2.54617        	9.15908        	10.6333        	15.8626        
21	98.7242        	7.76534        	5.66802        	2.95656        	11.9263        	14.0455        	21.255         
22	87.5981        	6.74683        	5.21669        	2.76791        	11.3254        	12.9099        	19.3347        
23	84.8329        	6.40861        	5.37775        	2.97788        	13.237         	16.1943        	25.2654        
24	86.4162        	6.52918        	5.31101        	2.89051        	12.3796        	14.6442        	22.4147        
25	55.9955        	4.86479        	4.71211        	2.80685        	14.43          	19.7956        	33.0875        
