period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	3.93023        	26.1895        	35.9976        	8.66304        	6.20507        	3.27914        	3.05725        
2	2.94992        	16.424         	42.296         	9.82782        	5.51394        	2.74306        	2.47684        
3	5.5449         	27.5773        	78.3112        	19.3575        	10.9642        	5.46905        	4.90727        
4	8.59446        	55.2064        	69.0455        	17.5627        	13.4355        	7.24619        	6.77909        
5	8.05684        	80.6627        	30.207         	8.27816        	8.30614        	4.92095        	4.91803        
6	7.88886        	79.7544        	18.4886        	5.41933        	6.53112        	4.10231        	4.24998        
7	7.08293        	70.8311        	24.6211        	6.86574        	7.5375         	4.48002        	4.46303        
8	7.66714        	57.5701        	12.4627        	3.86618        	5.38902        	3.53706        	3.76178        
9	6.97306        	69.6539        	27.5126        	7.46672        	7.45823        	4.38131        	4.35481        
10	5.05274        	56.2363        	15.6764        	4.34938        	4.61538        	2.80138        	2.8546         
11	4.57092        	45.2347        	21.678         	5.65524        	5.14184        	2.95303        	2.90791        
12	5.38499        	58.0532        	17.2981        	4.81727        	5.25085        	3.15879        	3.18837        
13	5.07694        	55.5012        	14.743         	4.15865        	4.6777         	2.85132        	2.90414        
14	4.79394        	51.8504        	13.1472        	3.75001        	4.36993        	2.67781        	2.73302        
15	4.83692        	52.7933        	13.3577        	3.79094        	4.32281        	2.65325        	2.71548        
16	5.83103        	48.4952        	10.1055        	3.04759        	3.9366         	2.58663        	2.76831        
17	3.94337        	39.5568        	17.5736        	4.6296         	4.40777        	2.54619        	2.51239        
18	4.2196         	40.4356        	18.1585        	4.85816        	4.97624        	2.87578        	2.81951        
19	4.27644        	42.8173        	16.5932        	4.513          	4.81039        	2.81404        	2.77985        
20	4.64054        	48.9373        	14.6316        	4.11692        	4.74649        	2.84617        	2.8543         
21	3.97573        	38.2216        	17.1351        	4.57909        	4.68508        	2.70673        	2.65404        
22	3.71005        	34.5267        	17.9922        	4.7021         	4.49881        	2.5656         	2.50203        
23	4.21074        	43.6518        	14.7381        	4.07434        	4.51336        	2.67275        	2.66057        
24	4.36608        	36.4082        	24.2611        	6.2536         	5.78405        	3.24557        	3.12315        
25	5.54393        	50.54          	28.6894        	7.45574        	6.65028        	3.77633        	3.68204        
