period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	5.64926        	2.23336        	4.71276        	5.05843        	64.1527        	53.7196        	27.1396        
2	5.47272        	24.9645        	78.822         	20.4096        	11.3561        	5.65207        	5.03906        
3	7.11842        	2.5393         	5.05724        	5.1673         	62.1324        	72.6408        	37.5599        
4	6.28924        	2.76376        	6.19394        	7.11274        	85.5014        	52.772         	27.2307        
5	6.4985         	2.85722        	6.40015        	7.34645        	87.9343        	54.3899        	28.0989        
6	5.02808        	2.4103         	5.71475        	6.96881        	80.5388        	38.6291        	20.191         
7	3.40038        	2.06587        	5.79668        	8.58362        	64.21          	20.4921        	11.389         
8	3.45708        	1.97954        	5.23894        	7.23503        	63.5612        	21.4738        	11.8056        
9	3.81686        	2.1201         	5.52762        	7.50452        	70.1064        	24.7649        	13.4712        
10	3.3861         	2.15244        	6.11453        	9.20858        	60.2168        	18.6861        	10.623         
11	2.8197         	2.02391        	6.23668        	10.3988        	45.868         	13.5852        	8.0199         
12	2.86247        	2.07974        	6.42539        	10.7821        	45.0443        	13.3663        	7.95888        
13	2.5683         	1.81109        	5.50224        	9.01501        	42.3972        	12.4958        	7.35124        
14	3.30149        	2.50837        	7.95553        	13.8574        	48.4344        	14.5331        	8.80434        
15	5.78261        	3.32228        	8.73778        	12.0521        	97.9765        	35.1621        	19.5313        
16	4.93582        	2.91756        	7.81416        	10.9925        	85.5266        	29.022         	16.2312        
17	4.95076        	2.84137        	7.47389        	10.2804        	86.639         	30.2248        	16.7288        
18	3.67981        	2.4079         	6.92258        	10.604         	62.8661        	19.3085        	11.1277        
19	4.07448        	3.09405        	9.77098        	16.9713        	58.5522        	17.7992        	10.8126        
20	3.89761        	2.78821        	8.47822        	13.9857        	60.4822        	18.3079        	10.8912        
21	3.50288        	2.39613        	7.09621        	11.286         	57.8923        	17.4495        	10.2033        
22	3.68651        	2.45106        	7.15255        	11.1497        	62.973         	19.1984        	11.092         
23	2.91915        	2.18494        	6.88658        	11.8633        	44.5154        	13.1638        	7.91514        
24	2.86052        	1.99071        	6.01967        	9.78642        	48.4236        	14.3065        	8.35412        
25	3.02722        	2.03986        	6.00278        	9.44867        	51.7525        	15.4603        	8.97149        
