period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	2.58281        	5.31065        	34.1086        	59.022         	11.7033        	4.58064        	3.56383        
2	2.93395        	5.88946        	37.3662        	69.9505        	13.5664        	5.28026        	4.09468        
3	3.11865        	6.78614        	45.3402        	61.87          	13.2203        	5.28232        	4.16268        
4	2.32918        	4.61344        	28.9157        	58.2214        	11.0444        	4.26154        	3.28694        
5	2.22257        	3.98045        	23.2077        	67.2761        	12.167         	4.48376        	3.36131        
6	2.91841        	5.00407        	28.5758        	85.4834        	16.0552        	5.93068        	4.45313        
7	2.72399        	3.21429        	14.0727        	38.939         	23.8483        	7.67768        	5.26759        
8	2.73793        	5.18443        	31.7021        	73.6567        	13.5393        	5.16042        	3.95208        
9	2.3948         	4.37663        	26.0712        	68.143         	12.3952        	4.6579         	3.53557        
10	2.42133        	4.17294        	23.8555        	72.1202        	13.3665        	4.92901        	3.69659        
11	2.85844        	4.46357        	23.8895        	80.0129        	17.5621        	6.27289        	4.6129         
12	2.07202        	4.47559        	29.6729        	43.9063        	9.04252        	3.57026        	2.79507        
13	1.99255        	4.49611        	30.5634        	38.2597        	8.33105        	3.33008        	2.62697        
14	2.70803        	6.88453        	50.0648        	37.3716        	9.90875        	4.12819        	3.33969        
15	2.97471        	7.21768        	51.547         	45.7186        	11.3647        	4.67582        	3.75502        
16	2.26559        	5.08723        	34.6179        	43.3804        	9.45756        	3.78518        	2.98851        
17	2.85204        	7.24021        	52.8152        	39.3725        	10.4382        	4.34866        	3.51871        
18	2.4077         	4.29671        	25.11          	72.8838        	13.1786        	4.85453        	3.64144        
19	2.64028        	4.71776        	27.75          	78.6449        	13.9552        	5.21118        	3.94178        
20	3.01689        	6.57364        	44.3362        	60.7241        	12.8377        	5.11499        	4.02876        
21	4.19411        	13.3014        	99.0518        	33.6698        	12.3863        	5.50361        	4.63082        
22	4.37069        	15.2958        	104.733        	28.552         	11.8515        	5.39762        	4.61005        
23	2.86473        	5.63972        	35.5625        	72.6098        	13.586         	5.23955        	4.0451         
24	4.89949        	20.0002        	105.211        	23.6654        	11.6804        	5.52157        	4.8226         
25	3.44638        	9.13972        	68.0767        	46.5538        	12.4517        	5.17529        	4.18954        
