period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	 2.755	 6.321	51.131	76.283	13.153	 4.931	 3.803
2	 3.112	 7.035	54.036	88.884	14.953	 5.662	 4.347
3	 3.307	 8.162	64.282	84.934	14.984	 5.641	 4.405
4	 2.445	 5.016	35.114	77.048	12.034	 4.500	 3.452
5	 2.393	 4.326	28.106	84.501	12.901	 4.844	 3.622
6	 3.086	 5.751	38.685	99.014	17.596	 6.389	 4.738
7	 2.878	 3.562	17.366	59.167	27.307	 8.259	 5.683
8	 2.908	 6.091	44.513	89.462	15.219	 5.553	 4.209
9	 2.556	 5.170	36.882	80.118	13.493	 5.042	 3.788
10	 2.529	 4.591	28.009	90.182	14.128	 5.205	 3.874
11	 3.020	 5.066	32.457	96.737	19.768	 6.787	 4.920
12	 2.191	 4.898	38.486	60.477	 9.867	 3.787	 2.953
13	 2.112	 5.088	39.707	52.168	 9.067	 3.538	 2.782
14	 2.837	 7.779	66.716	52.395	10.859	 4.325	 3.483
15	 3.169	 8.601	71.621	67.516	12.433	 4.994	 3.980
16	 2.386	 5.749	45.044	59.205	10.251	 3.998	 3.142
17	 2.983	 8.182	70.535	55.316	11.425	 4.547	 3.662
18	 2.576	 4.661	30.453	92.271	13.930	 5.220	 3.902
19	 2.804	 5.571	40.142	89.475	15.397	 5.624	 4.206
20	 3.203	 7.918	63.157	83.312	14.571	 5.469	 4.269
21	 4.460	16.414	121.135	49.725	13.268	 5.793	 4.848
22	 4.661	20.517	125.404	43.213	12.655	 5.673	 4.823
23	 3.039	 6.445	50.380	90.313	15.266	 5.624	 4.298
24	 5.244	27.164	128.789	33.364	12.401	 5.783	 5.035
25	 3.701	10.257	88.217	64.516	13.563	 5.557	 4.492
