period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	70.769	 7.632	 4.719	 2.297	 8.119	 8.392	11.962
2	74.047	 8.063	 4.987	 2.429	 8.573	 8.864	12.630
3	55.886	 7.482	 4.408	 2.088	 7.017	 6.982	 9.929
4	56.424	 8.556	 4.850	 2.269	 7.411	 7.362	 9.845
5	65.953	 9.074	 5.353	 2.540	 8.499	 8.465	12.023
6	62.582	 8.515	 5.021	 2.381	 7.980	 7.945	11.290
7	47.761	 7.609	 4.304	 1.997	 6.457	 6.356	 8.633
8	44.476	 9.256	 4.802	 2.171	 6.639	 6.323	 8.409
9	36.034	 7.935	 4.118	 1.846	 5.587	 5.273	 7.115
10	33.032	 8.283	 4.153	 1.836	 5.408	 5.022	 6.772
11	35.814	11.119	 5.432	 2.358	 6.634	 6.021	 7.961
12	59.134	13.818	 7.327	 3.282	 9.672	 9.090	12.061
13	69.768	 6.570	 4.311	 2.124	 7.726	 8.117	12.084
14	62.507	 8.495	 5.009	 2.375	 7.962	 7.926	11.264
15	70.349	 6.753	 4.406	 2.158	 7.743	 8.198	11.941
16	62.075	 6.482	 4.003	 1.946	 6.907	 7.133	10.180
17	65.695	 8.389	 4.959	 2.367	 8.042	 7.949	11.572
18	54.363	10.831	 5.921	 2.700	 8.333	 8.012	10.782
19	68.151	13.040	 7.141	 3.287	10.220	 9.924	13.151
20	101.325	10.014	 6.627	 3.303	12.007	12.943	18.597
21	111.138	 8.528	 6.412	 3.366	13.537	15.296	23.969
22	98.840	 7.146	 5.433	 2.864	11.744	13.494	20.635
23	92.074	 6.989	 5.598	 3.087	13.787	17.194	26.757
24	94.837	 7.046	 5.526	 2.989	12.869	15.774	23.684
25	60.966	 5.182	 4.893	 2.909	15.154	21.857	35.943
