period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	 1.426	 1.833	 8.714	28.148	11.531	 3.866	 2.685
2	 1.367	 1.665	 7.651	23.654	12.016	 3.832	 2.666
3	 1.453	 1.372	 5.104	12.224	18.720	 5.468	 3.399
4	 9.928	 1.270	 1.580	 1.103	 8.058	16.715	33.949
5	 4.401	51.478	19.275	 4.761	 4.745	 2.762	 2.728
6	 1.357	 2.008	 9.885	33.817	 9.475	 3.296	 2.350
7	 1.639	 1.928	 8.505	26.055	15.553	 4.892	 3.272
8	 1.435	 2.581	16.135	45.792	 7.588	 2.890	 2.166
9	 1.495	 2.493	13.808	46.657	 9.007	 3.255	 2.389
10	 1.565	 2.554	14.476	48.778	 9.716	 3.462	 2.530
11	 1.678	 2.234	10.973	36.755	13.189	 4.386	 3.082
12	 1.839	 2.607	12.866	44.694	13.237	 4.619	 3.261
13	 1.532	 1.683	 7.250	19.919	15.766	 4.849	 3.211
14	 1.512	 2.254	11.380	42.509	10.625	 3.625	 2.592
15	 1.846	 1.992	 8.087	22.307	18.831	 5.820	 3.910
16	 1.488	 2.056	10.478	36.879	11.444	 3.806	 2.673
17	 1.897	 3.762	23.926	56.555	 9.560	 3.638	 2.763
18	 1.526	 2.032	10.001	33.693	12.028	 3.992	 2.804
19	 1.800	 2.814	14.449	51.770	12.225	 4.174	 3.012
20	 1.885	 2.378	10.672	36.606	16.073	 5.100	 3.586
21	 1.839	 3.314	19.342	57.690	10.010	 3.756	 2.805
22	 2.327	 3.801	19.809	68.431	14.350	 5.216	 3.800
23	 1.604	 2.176	10.503	37.295	12.629	 4.167	 2.914
24	 1.603	 2.674	14.811	50.033	 9.661	 3.492	 2.563
25	 1.728	 2.826	14.867	52.603	10.741	 3.882	 2.825
