period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	141.936        	165.404        	1002.18        	1746.61        	610.776        	246.374        	202.071        
2	149.908        	171.31         	1127.04        	1702.66        	662.486        	259.493        	212.453        
3	149.932        	174.089        	1274.98        	1539.64        	694.209        	254.756        	208.454        
4	167.516        	203.844        	1515.38        	1900.78        	789.79         	292.494        	236.83         
5	174.041        	224.397        	1781.27        	2136.98        	985.183        	316.912        	250.332        
6	179.497        	225.009        	1771.36        	2214.09        	1010.38        	329.656        	261.638        
7	198.757        	231.903        	1741.23        	2245.33        	1523.68        	417.148        	319.28         
8	198.448        	242.739        	1812.68        	2364.42        	1391.1         	392.23         	303.497        
9	181.585        	233.035        	1775.01        	2341.05        	1226.8         	351.97         	272.592        
10	339.35         	414.41         	1992.51        	1942.29        	2235.81        	777.211        	589.691        
11	234.347        	315.641        	1504.86        	1561.24        	1620.91        	536.46         	386.315        
12	208.064        	335.47         	1655.42        	1680.11        	1374.89        	428.964        	313.751        
13	145.066        	275.224        	1343.4         	1374.4         	935.114        	278.346        	212.789        
14	129.053        	236.505        	1237.95        	1126.56        	708.913        	226.768        	176.378        
15	117.222        	205.663        	1022.35        	913.198        	567.143        	197.606        	158.584        
16	136.832        	216.994        	1161.91        	966.73         	653.44         	227.372        	183.478        
17	134.574        	210.615        	1172.9         	894.089        	619.029        	217.541        	179.108        
18	124.757        	190.038        	1026.56        	857.16         	703.015        	216.991        	173.648        
19	155.601        	218.84         	1113.04        	916.013        	1041.8         	300.19         	231.786        
20	164.087        	237.157        	1141.19        	910.483        	1000.97        	299.025        	233.83         
21	120.257        	180.515        	809.179        	600.02         	606.591        	200.619        	161.049        
22	125.42         	175.218        	674.531        	472.056        	552.414        	193.111        	161.901        
23	145.8          	186.165        	732.319        	545.796        	652.067        	240.097        	199.355        
24	296.837        	366.566        	1100.2         	633.848        	1222           	481.343        	398.526        
25	232.87         	330.031        	987.502        	603.978        	993.931        	376.077        	309.182        
