period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	269.682        	170.896        	82.2478        	33.7697        	99.1138        	72.7675        	84.6259        
2	146.155        	136.395        	65.4618        	26.7882        	78.3619        	53.1171        	58.584         
3	170.457        	267.319        	100.552        	37.6619        	94.1659        	64.2624        	71.1337        
4	221.243        	188.772        	82.8043        	33.745         	98.1389        	70.3921        	80.3527        
5	221.324        	128.66         	65.9005        	27.7778        	84.9967        	62.0578        	71.7373        
6	286.88         	99.576         	59.2011        	26.121         	86.7881        	65.9537        	78.3094        
7	334.248        	112.047        	68.8875        	30.3003        	99.7445        	75.9434        	90.2995        
8	222.394        	264.239        	107.896        	40.6224        	101.993        	71.1982        	80.3052        
9	210.723        	333.814        	112.769        	42.2339        	106.901        	73.5768        	82.1722        
10	307.28         	167.722        	79.8689        	33.9042        	106.31         	80.0669        	94.3438        
11	229.073        	156.311        	80.0028        	33.0201        	96.799         	68.9863        	78.5858        
12	117.853        	502.7          	136.997        	45.9343        	96.9264        	59.7168        	62.1225        
13	195.122        	400.349        	99.9835        	38.1485        	103.287        	71.0669        	79.2036        
14	193.734        	318.264        	94.5792        	35.1521        	89.0921        	61.7137        	69.4313        
15	157.056        	378.663        	110.84         	40.2381        	96.169         	63.7744        	69.4308        
16	231.664        	216.521        	90.5688        	37.0314        	109.192        	77.8658        	88.4261        
17	194.388        	289.78         	107.132        	40.0088        	99.4558        	68.2139        	75.9377        
18	155.735        	458.744        	125.366        	44.5193        	103.208        	67.1272        	72.2419        
19	160.098        	543.768        	115.283        	40.9865        	98.478         	64.6728        	70.2439        
20	163.246        	409.904        	110.832        	40.4114        	97.0423        	65.1914        	71.4221        
21	196.767        	406.811        	134.392        	49.607         	120.956        	81.031         	88.56          
22	120.628        	1808.94        	206.933        	61.2994        	105.942        	63.9841        	65.8618        
23	127.986        	1965.47        	179.371        	56.487         	107.163        	66.6409        	69.5765        
24	135.386        	1463.02        	182.262        	58.5875        	115.111        	71.3112        	74.299         
25	129.989        	1231.65        	154.212        	49.8963        	98.8538        	62.5787        	66.1406        
