period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	32.0973        	12.5193        	27.0269        	27.8851        	811.519        	467.276        	173.558        
2	33.4669        	137.24         	1115.83        	1471.86        	115.24         	49.4692        	38.5059        
3	48.3942        	20.2449        	54.7763        	108.403        	906.257        	960.646        	302.355        
4	34.4241        	15.0427        	34.6421        	39.3671        	1518.81        	369.482        	158.894        
5	34.3911        	15.0279        	34.2464        	36.9125        	1568.69        	372.32         	158.278        
6	29.8989        	14.008         	34.0672        	40.5708        	3445.71        	289.38         	130.704        
7	22.1546        	13.1304        	36.9034        	52.4953        	1221.08        	141.689        	74.8822        
8	20.7341        	11.6425        	31.5001        	42.6238        	1650.13        	144.202        	73.7806        
9	23.1173        	12.6091        	33.4203        	43.8754        	2417.23        	168.311        	84.5705        
10	20.6709        	12.8248        	37.0534        	54.3682        	898.776        	122.709        	66.4086        
11	17.7409        	12.3819        	38.868         	64.0432        	500.461        	89.5205        	51.1767        
12	17.4139        	12.3412        	39.1561        	65.4923        	468.766        	86.0904        	49.5368        
13	15.7789        	10.872         	33.8549        	55.3333        	465.265        	81.4284        	46.2065        
14	19.6726        	14.5441        	47.5505        	82.71          	469.038        	91.6315        	53.7369        
15	30.6935        	17.3596        	46.492         	60.798         	2355.71        	203.656        	105.308        
16	26.7896        	15.4757        	42.2956        	57.044         	1640.12        	173.561        	91.031         
17	24.0355        	13.5364        	35.6329        	44.7241        	1687.67        	152.764        	80.5212        
18	21.714         	13.8691        	40.9209        	61.8063        	832.766        	124.02         	67.9951        
19	20.1426        	14.5767        	45.6476        	71.5532        	440.249        	87.3324        	52.6283        
20	20.4913        	14.1611        	43.3428        	66.8375        	550.737        	98.3218        	57.1769        
21	20.7631        	13.8703        	42.1548        	66.2301        	675.127        	110.819        	62.1302        
22	22.6856        	14.7287        	43.9401        	67.4729        	823.406        	126.632        	69.9372        
23	18.2983        	13.3668        	43.4053        	75.3588        	451.944        	87.4066        	50.892         
24	18.3882        	12.4955        	38.5698        	62.2706        	571.306        	97.0517        	54.6616        
25	19.2489        	12.6927        	38.3553        	60.0701        	662.818        	105.776        	58.7723        
