period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	123.181        	12.658         	15.0844        	9.70351        	70.8142        	120.266        	276.877        
2	139.811        	14.8105        	17.8682        	11.5573        	85.4935        	147.114        	345.876        
3	127.341        	13.4487        	16.1755        	10.4701        	77.418         	133.576        	313.22         
4	149.831        	14.167         	16.3901        	10.3546        	72.5242        	117.649        	256.081        
5	133.168        	14.0856        	16.9605        	10.9734        	81.1404        	139.794        	328.026        
6	130.149        	14.1317        	17.1776        	11.1838        	83.821         	146.815        	351.417        
7	157.378        	15.3163        	17.9091        	11.3824        	80.8056        	133.012        	294.615        
8	156.125        	14.7608        	17.0658        	10.7816        	75.4992        	122.503        	266.576        
9	116.775        	13.3494        	16.5298        	10.8934        	83.9153        	151.934        	380.722        
10	104.693        	12.5886        	15.8924        	10.605         	83.9988        	157.414        	415.035        
11	113.252        	12.9498        	16.0471        	10.5778        	81.5047        	147.596        	369.809        
12	103.959        	12.1915        	15.2461        	10.1118        	78.9948        	145.498        	373.634        
13	171.032        	16.6682        	19.5611        	12.4276        	88.3188        	145.092        	322.531        
14	195.594        	16.9001        	18.9742        	11.7734        	79.2468        	123.144        	255.957        
15	119.076        	12.9004        	15.6508        	10.1917        	76.41          	134.05         	321.514        
16	184.162        	14.9142        	16.4157        	10.064         	66.0208        	99.7682        	201.804        
17	166.143        	13.9169        	15.466         	9.53662        	63.3699        	97.02          	198.913        
18	196.629        	13.9371        	14.7259        	8.81215        	54.8484        	78.3994        	150.435        
19	413.029        	17.7296        	16.5493        	9.27281        	50.0848        	62.8338        	107.533        
20	328.02         	16.5309        	16.1193        	9.19685        	51.6895        	66.503         	116.717        
21	224.366        	14.1992        	14.5557        	8.55454        	51.2284        	70.3289        	130.292        
22	195.749        	12.8601        	13.2932        	7.85988        	47.6734        	66.4522        	124.59         
23	197.517        	13.4663        	14.0961        	8.38411        	51.5439        	72.6638        	137.886        
24	258.716        	16.9824        	17.6248        	10.4201        	63.2226        	87.8638        	164.741        
25	151.705        	12.7184        	14.1506        	8.72417        	58.0129        	88.6925        	182.092        
