period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	293.728        	5.18198        	3.74706        	1.87353        	7.98246        	8.48182        	12.6942        
2	314.913        	4.20908        	3.17254        	1.61622        	7.16893        	7.84602        	11.9955        
3	152.848        	3.81971        	3.16787        	1.68755        	8.19839        	9.60368        	15.4435        
4	191.47         	5.28919        	3.66066        	1.79459        	7.35444        	7.60241        	11.1569        
5	351.746        	4.77734        	3.5433         	1.79356        	7.84674        	8.51368        	12.9367        
6	289.749        	4.87019        	3.82849        	1.98873        	9.16531        	10.3133        	16.1064        
7	121.738        	5.78534        	3.76484        	1.79725        	6.98724        	6.9714         	9.97895        
8	117.706        	5.44349        	3.50874        	1.6719         	6.48806        	6.50984        	9.35302        
9	281.823        	4.42948        	3.19038        	1.59335        	6.79248        	7.23816        	10.8531        
10	366.595        	4.92498        	3.6639         	1.85532        	8.1198         	8.79044        	13.3387        
11	340.794        	4.13525        	3.11143        	1.58446        	7.02889        	7.70094        	11.7834        
12	315.974        	5.02506        	3.43007        	1.69039        	7.22092        	8.36654        	13.0145        
13	267.74         	4.03614        	2.72434        	1.33385        	5.62162        	6.43014        	9.92671        
14	186.728        	4.26031        	3.00016        	1.47965        	6.15283        	6.41599        	9.47336        
15	304.937        	4.48643        	3.46492        	1.79337        	8.26146        	9.4527         	14.8668        
16	87.3371        	5.81746        	3.59859        	1.68219        	6.2833         	6.11845        	8.61113        
17	90.5825        	6.11543        	3.79645        	1.77605        	6.63743        	6.45037        	9.06595        
18	238.911        	5.25665        	3.5741         	1.74558        	7.14388        	7.48364        	11.0852        
19	159.921        	5.69534        	3.8173         	1.84623        	7.37298        	7.49124        	10.8645        
20	135.498        	5.66161        	3.75617        	1.80589        	7.12249        	7.15514        	10.2935        
21	281.521        	5.0261         	3.55613        	1.76401        	7.42           	7.84512        	11.7023        
22	148.436        	5.30582        	3.54265        	1.7119         	6.83035        	6.9565         	10.1028        
23	103.842        	5.58832        	3.60626        	1.71141        	6.57864        	6.4867         	9.20952        
24	60.2154        	7.55604        	4.23994        	1.90389        	6.55794        	6.06092        	8.2278         
25	128.593        	6.16331        	4.03175        	1.92645        	7.49848        	7.45949        	10.6585        
