period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	79.2349        	6.13026        	3.79152        	1.76565        	6.51902        	6.25324        	8.70462        
2	109.698        	5.32688        	3.49773        	1.67169        	6.50675        	6.47014        	9.23663        
3	250.119        	5.02985        	3.383          	1.65534        	6.95772        	7.99686        	12.36          
4	57.6932        	6.02935        	3.54324        	1.61558        	5.72875        	5.36591        	7.34656        
5	162.427        	4.60134        	3.20426        	1.57146        	6.44623        	6.64884        	9.73951        
6	159.768        	5.92772        	3.97678        	1.92453        	7.67581        	7.79674        	11.3002        
7	275.599        	5.07352        	3.64244        	1.81584        	7.72301        	8.28626        	12.44          
8	119.767        	5.75852        	3.76726        	1.80015        	7.00369        	6.97212        	9.96304        
9	195.42         	5.30388        	3.6608         	1.79416        	7.34929        	7.61           	11.181         
10	143.24         	5.96934        	3.76578        	1.77774        	6.88223        	7.30638        	10.7618        
11	83.1985        	6.35778        	3.90442        	1.81635        	6.70054        	6.44292        	8.98639        
12	53.8963        	6.82697        	3.87461        	1.74284        	6.01582        	5.54108        	7.50085        
13	70.8372        	6.65456        	3.93847        	1.80623        	6.48018        	6.13703        	8.46972        
14	83.9257        	5.75579        	3.60007        	1.68607        	6.30666        	6.11338        	8.57376        
15	34.8716        	9.00097        	4.46015        	1.89966        	5.88942        	5.07539        	6.566          
16	29.3409        	10.5925        	4.80186        	1.98306        	5.79398        	4.855          	6.16532        
17	24.988         	12.5415        	5.23832        	2.1005         	5.7964         	4.7111         	5.86231        
18	21.7829        	12.8471        	5.16625        	2.04198        	5.48363        	4.38664        	5.40104        
19	44.4103        	10.2393        	4.6967         	1.92645        	5.61204        	5.33192        	7.26948        
20	34.9952        	11.4746        	5.20988        	2.15526        	6.33866        	5.39359        	6.9241         
21	17.1621        	19.327         	6.5056         	2.42222        	5.80468        	4.37098        	5.17169        
22	24.7815        	14.611         	5.88784        	2.32986        	6.26933        	5.00735        	6.15938        
23	24.8804        	10.5655        	4.64116        	1.89086        	5.38571        	4.43617        	5.5688         
24	16.7977        	22.4901        	7.08178        	2.58762        	5.98496        	4.45165        	5.22752        
25	12.5451        	21.5187        	6.26825        	2.23469        	4.93484        	3.59509        	4.1652         
