period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	8.95349        	123.767        	60.8936        	13.006         	10.8827        	5.91271        	5.75237        
2	11.9784        	193.502        	51.673         	12.6587        	13.5786        	7.69464        	7.60583        
3	7.61735        	52.0423        	100.289        	18.2315        	13.5872        	6.84119        	6.29546        
4	10.6329        	118.43         	69.6661        	15.4942        	14.3028        	7.73712        	7.43965        
5	4.91634        	20.5158        	263.685        	26.6855        	12.5404        	5.65945        	4.89938        
6	7.93958        	41.36          	186.264        	28.1087        	16.875         	8.08171        	7.21951        
7	3.24392        	7.49653        	63.6934        	121.016        	15.6102        	5.72875        	4.41058        
8	5.03932        	20.177         	285.629        	28.6909        	13.1796        	5.92531        	5.11366        
9	4.21218        	10.2047        	91.2445        	128.503        	19.4013        	7.20047        	5.58061        
10	4.49201        	21.2373        	223.007        	23.4904        	10.8069        	4.87174        	4.23497        
11	4.95752        	27.0707        	132.765        	18.2459        	10.4709        	4.96397        	4.42908        
12	3.87436        	14.265         	315.879        	28.0605        	11.077         	4.81604        	4.08568        
13	4.67237        	14.9693        	222.472        	53.6083        	15.6324        	6.44634        	5.30266        
14	15.3578        	358.334        	38.2295        	10.4561        	13.9256        	8.39329        	8.5968         
15	3.79249        	8.5806         	74.866         	104.799        	17.0136        	6.45167        	5.05966        
16	2.41607        	5.18584        	39.807         	166.844        	13.5032        	4.6814         	3.49622        
17	2.68855        	3.35147        	16.3631        	60.0476        	24.1779        	7.27265        	5.03431        
18	2.86163        	2.89262        	11.9442        	30.0941        	36.7394        	9.69095        	6.27682        
19	3.63776        	3.58017        	14.4691        	35.0342        	49.4186        	12.8218        	8.20523        
20	4.07689        	5.37253        	27.1432        	105.494        	35.3855        	10.8168        	7.5127         
21	4.34164        	11.6425        	122.847        	78.0246        	17.1086        	6.71692        	5.37113        
22	6.04595        	103.586        	28.1756        	6.69175        	7.06252        	3.95154        	3.88886        
23	8.428          	218.16         	17.4949        	4.94978        	7.16098        	4.3726         	4.52513        
24	12.0743        	87.9995        	14.5525        	4.51368        	7.55759        	4.96771        	5.38574        
25	5.60016        	108.779        	25.1513        	5.99263        	6.17645        	3.48718        	3.45805        
