period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	45.5393        	3.22797        	2.75243        	1.5245         	7.0281         	8.63795        	13.6262        
2	52.312         	3.71902        	3.02721        	1.63717        	7.16929        	8.46497        	13.0151        
3	30.6357        	2.45737        	2.34421        	1.37935        	7.22873        	9.86069        	16.6096        
4	39.5464        	2.81285        	2.50465        	1.41385        	6.76606        	8.5037         	13.6742        
5	47.2493        	3.26289        	2.71026        	1.47637        	6.55272        	7.74914        	11.9755        
6	38.5862        	2.77605        	2.50021        	1.41979        	6.88021        	8.73742        	14.146         
7	42.2708        	2.81927        	2.36051        	1.29173        	5.82559        	6.98231        	10.9015        
8	43.5258        	3.07958        	2.59546        	1.42292        	6.39108        	7.61332        	11.8099        
9	47.1391        	3.423          	2.82686        	1.53847        	6.82405        	8.11714        	12.5264        
10	35.052         	2.76306        	2.45894        	1.3893         	6.62339        	8.30585        	13.195         
11	46.9314        	3.8439         	2.78232        	1.42074        	5.57262        	6.07352        	8.8771         
12	34.6031        	4.74516        	2.9815         	1.42622        	4.87764        	4.784          	6.54901        
13	41.395         	4.41601        	2.95388        	1.45334        	5.2772         	5.45184        	7.69604        
14	32.5741        	5.01858        	3.10818        	1.47561        	4.95328        	4.85338        	6.6119         
15	27.4474        	5.40068        	3.08632        	1.41848        	4.49237        	4.20379        	5.58529        
16	22.945         	6.80234        	3.54708        	1.56981        	4.59472        	4.09777        	5.27443        
17	27.8365        	4.74937        	2.78798        	1.29606        	4.21412        	4.01357        	5.3969         
18	22.8039        	6.2339         	3.27801        	1.45648        	4.31946        	3.88987        	5.04324        
19	26.7015        	5.9328         	3.26959        	1.48146        	4.57088        	4.21456        	5.54969        
20	45.5479        	4.08856        	2.83654        	1.42015        	5.36645        	5.70258        	8.20638        
21	43.9438        	3.41867        	2.49863        	1.2819         	5.10232        	5.62579        	8.28781        
22	37.8043        	4.48942        	2.98921        	1.46556        	5.24437        	5.35007        	7.47601        
23	39.0406        	5.062          	3.22939        	1.5556         	5.38517        	5.32246        	7.32197        
24	35.5774        	3.89862        	2.53132        	1.22975        	4.3758         	4.42242        	6.18343        
25	33.2424        	4.11826        	2.60033        	1.24773        	4.32641        	4.29743        	5.93989        
