period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	2.76164        	5.66777        	36.3928        	63.0241        	12.5012        	4.89622        	3.81082        
2	3.02394        	5.89572        	35.5513        	60.61          	13.771         	5.41681        	4.21708        
3	3.19163        	6.69496        	41.6092        	52.789         	13.3223        	5.38499        	4.26121        
4	2.48027        	4.84553        	29.8377        	57.8858        	11.6812        	4.52772        	3.49911        
5	2.4071         	4.16308        	23.5484        	61.3631        	12.8496        	4.80362        	3.62747        
6	3.04052        	5.10253        	28.2202        	74.929         	16.4555        	6.13966        	4.62856        
7	2.9326         	3.45611        	15.1225        	41.8597        	25.6373        	8.25649        	5.66719        
8	2.87195        	5.32357        	31.5362        	67.3175        	14.0297        	5.39006        	4.14126        
9	2.49776        	4.46904        	25.7841        	60.8605        	12.7495        	4.83336        	3.68172        
10	2.28302        	4.18446        	24.5359        	75.1849        	13.2082        	4.75006        	3.51           
11	2.92262        	4.42451        	22.539         	61.8786        	17.3868        	6.33002        	4.68893        
12	2.28295        	4.78422        	31.1191        	45.2711        	9.82174        	3.91849        	3.08356        
13	2.06753        	4.49982        	28.6734        	34.084         	8.52667        	3.44418        	2.72772        
14	2.79087        	6.76976        	44.4042        	33.4497        	10.0926        	4.25092        	3.45205        
15	3.01899        	6.95023        	44.1425        	38.4797        	11.3447        	4.73414        	3.81978        
16	2.39584        	5.24812        	34.295         	41.5364        	9.91357        	3.99445        	3.1623         
17	2.93159        	7.14618        	47.3324        	35.6459        	10.6162        	4.46605        	3.62563        
18	2.55892        	4.35319        	24.0822        	58.4381        	13.519         	5.08511        	3.8511         
19	2.79992        	5.06945        	30.0319        	84.5345        	14.9464        	5.54972        	4.18507        
20	3.13935        	6.61608        	41.9447        	53.8578        	13.1822        	5.30446        	4.19368        
21	4.35161        	12.8507        	80.446         	30.978         	12.7625        	5.74657        	4.85503        
22	4.58294        	15.0392        	88.7702        	27.3929        	12.4006        	5.70676        	4.88855        
23	3.00577        	5.76313        	34.8859        	65.2522        	14.0637        	5.47376        	4.24134        
24	5.10397        	21.4843        	114.35         	25.4283        	12.1024        	5.66503        	4.93585        
25	3.64882        	8.95543        	58.4575        	40.8974        	12.9092        	5.47963        	4.4717         
