period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	29.6996        	3.94816        	2.4594         	1.17309        	4.01044        	3.95226        	5.43064        
2	32.5322        	3.43795        	2.2695         	1.11019        	3.99643        	4.07362        	5.72155        
3	40.3924        	3.43768        	2.49799        	1.27679        	4.99752        	5.44021        	7.929          
4	23.946         	3.81434        	2.2665         	1.05891        	3.48405        	3.35489        	4.54201        
5	34.2401        	2.95063        	2.05689        	1.03114        	3.90841        	4.12758        	5.93377        
6	37.1786        	3.73291        	2.55945        	1.27199        	4.6881         	4.83509        	6.83316        
7	41.2326        	3.34047        	2.44546        	1.25285        	4.91814        	5.30377        	7.71898        
8	34.0716        	3.66916        	2.43279        	1.19174        	4.2885         	4.36079        	6.11244        
9	36.526         	3.30784        	2.32583        	1.16916        	4.42368        	4.64803        	6.65143        
10	37.7827        	4.0162         	2.72089        	1.34472        	4.89348        	4.99835        	7.01845        
11	29.7271        	3.99935        	2.50181        	1.19444        	4.08607        	4.01886        	5.51362        
12	23.1851        	4.22503        	2.44094        	1.1266         	3.61292        	3.41847        	4.57542        
13	26.5345        	4.0486         	2.46133        	1.16023        	3.8687         	3.74249        	5.07859        
14	28.9689        	3.6171         	2.28721        	1.09733        	3.80452        	3.78043        	5.22367        
15	17.8606        	5.57946        	2.8279         	1.23756        	3.56874        	3.17213        	4.07826        
16	14.9099        	6.18322        	2.9485         	1.25816        	3.43941        	2.96215        	3.7292         
17	13.179         	7.22477        	3.21601        	1.33601        	3.45829        	2.89047        	3.56912        
18	11.8538        	7.46708        	3.18971        	1.30464        	3.28184        	2.70585        	3.31357        
19	22.0762        	6.60845        	3.47298        	1.54047        	4.50929        	4.01569        	5.15894        
20	15.2376        	5.99648        	2.97006        	1.28331        	3.56482        	3.08012        	3.87886        
21	10.0075        	11.1176        	4.0765         	1.57651        	3.54078        	2.75588        	3.25266        
22	13.7257        	8.65685        	3.71398        	1.52254        	3.83609        	3.15755        	3.86096        
23	13.3439        	6.33128        	2.89246        	1.21425        	3.22745        	2.7427         	3.42618        
24	9.45954        	12.0579        	4.29376        	1.64089        	3.58678        	2.7505         	3.21402        
25	7.12163        	11.3217        	3.74353        	1.39263        	2.89844        	2.18179        	2.52246        
