period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	53.0957        	4.2016         	3.66966        	2.0547         	9.45439        	11.5899        	18.1369        
2	43.2706        	5.80961        	3.62412        	1.73334        	5.90962        	5.81256        	7.97378        
3	57.3473        	4.80704        	3.88116        	2.08635        	8.80211        	10.0651        	15.0635        
4	44.6339        	3.57058        	2.9795         	1.62709        	7.16166        	8.43952        	12.8827        
5	22.0074        	7.07368        	3.62099        	1.58729        	4.54003        	4.0563         	5.21377        
6	44.8884        	6.51056        	4.20343        	2.03466        	6.97097        	6.89616        	9.42948        
7	21.6676        	11.193         	5.08583        	2.13088        	5.54202        	4.68979        	5.82289        
8	43.214         	6.04206        	3.87259        	1.86899        	6.41909        	6.36959        	8.74076        
9	47.0945        	8.53463        	5.20693        	2.46177        	8.00258        	7.66091        	10.2548        
10	59.4958        	5.78473        	4.0675         	2.04957        	7.68593        	8.09813        	11.5592        
11	33.25          	7.02133        	4.07207        	1.8803         	5.9076         	5.53842        	7.32827        
12	39.5795        	7.6936         	4.49791        	2.08783        	6.63905        	6.28232        	8.37022        
13	59.8997        	5.2259         	3.88832        	2.01003        	7.9195         	8.62142        	12.5541        
14	45.2207        	6.16079        	3.93307        	1.89547        	6.5173         	6.4746         	8.9015         
15	40.9597        	6.79313        	4.04935        	1.89659        	6.19873        	5.98223        	8.08607        
16	40.1911        	6.80832        	4.2084         	1.99736        	6.60298        	6.37589        	8.59104        
17	46.5728        	5.96603        	3.85715        	1.86955        	6.51611        	6.53087        	9.03391        
18	18.1323        	11.5271        	5.04853        	2.07904        	5.2007         	4.29613        	5.24884        
19	19.6807        	11.6602        	5.14246        	2.12702        	5.38992        	4.48981        	5.51873        
20	20.7713        	8.61228        	4.09266        	1.74882        	4.78102        	4.1126         	5.17381        
21	18.3721        	10.0734        	4.44722        	1.848          	4.78112        	3.99463        	4.9324         
22	23.9482        	9.315          	4.48783        	1.9247         	5.28908        	4.61898        	5.85932        
23	23.0427        	11.0351        	5.04446        	2.12079        	5.59188        	4.77292        	5.96642        
24	45.4122        	8.50601        	4.90957        	2.27182        	7.2257         	6.85912        	9.17474        
25	63.9           	6.84385        	4.69476        	2.33963        	8.54489        	8.83552        	12.4569        
