period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	415.062	15.047	12.750	 6.951	35.619	43.353	74.309
2	272.383	20.219	12.023	 5.560	20.458	19.914	28.274
3	516.975	17.533	13.665	 7.123	33.269	39.509	62.423
4	391.528	12.845	10.438	 5.543	27.015	32.762	54.354
5	116.759	26.280	12.692	 5.354	16.480	14.364	19.097
6	363.372	25.062	14.947	 6.963	25.935	25.478	36.472
7	99.940	43.308	18.069	 7.151	19.902	16.414	20.646
8	333.055	22.797	13.590	 6.329	23.592	23.173	33.182
9	337.607	32.595	18.587	 8.430	29.697	28.173	38.512
10	473.362	21.193	14.054	 6.861	28.082	28.927	43.470
11	215.386	26.348	14.410	 6.393	21.671	20.023	27.164
12	258.577	28.748	15.714	 7.023	24.117	22.479	30.043
13	496.342	18.687	13.488	 6.760	29.191	31.851	48.343
14	335.671	22.920	13.662	 6.362	23.720	23.298	33.363
15	257.555	24.351	13.865	 6.281	22.184	21.033	28.773
16	303.525	26.190	14.924	 6.809	24.369	23.309	31.394
17	355.172	21.131	13.335	 6.251	23.632	23.419	33.793
18	80.947	47.956	18.345	 7.070	18.853	15.189	18.816
19	89.446	45.609	18.234	 7.156	19.356	15.716	19.567
20	108.805	36.029	16.449	 6.742	19.463	16.516	20.975
21	85.824	44.836	17.795	 7.121	19.399	15.955	19.987
22	111.316	34.879	15.410	 6.361	18.760	15.963	20.685
23	107.623	40.351	17.347	 7.002	19.778	16.438	20.651
24	275.053	30.654	16.759	 7.491	25.717	23.972	32.036
25	492.153	24.397	16.273	 7.842	31.222	31.652	48.090
