period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	389.840	16.978	14.333	 7.799	40.306	49.474	87.381
2	471.559	21.094	16.491	 8.526	39.570	43.725	71.932
3	341.072	14.389	12.614	 6.950	36.936	48.272	85.805
4	453.277	48.817	27.276	12.346	43.708	41.419	56.949
5	560.023	27.296	18.194	 8.762	34.947	35.419	53.852
6	424.686	32.001	19.001	 8.727	31.678	30.564	44.091
7	57.239	122.278	30.559	10.630	22.934	16.658	19.285
8	91.018	53.860	20.581	 7.928	21.155	17.038	21.109
9	102.125	71.070	25.978	 9.960	25.790	20.464	25.096
10	246.993	26.911	14.686	 6.556	22.572	21.025	28.118
11	436.658	24.010	15.010	 7.128	27.723	27.597	39.959
12	126.494	39.442	17.708	 7.249	21.105	17.808	22.605
13	102.821	38.329	16.443	 6.630	18.760	15.580	19.581
14	177.659	22.844	11.807	 5.195	17.415	15.944	21.355
15	97.878	36.459	15.637	 6.304	17.841	14.816	18.621
16	219.953	14.507	 8.631	 4.013	15.020	14.741	21.135
17	135.523	27.240	13.073	 5.550	17.354	15.241	20.006
18	235.658	17.005	10.096	 4.663	17.211	16.742	23.796
19	145.273	27.288	13.655	 5.839	18.516	16.395	21.897
20	113.688	29.782	13.847	 5.751	17.239	14.775	19.538
21	147.736	18.912	 9.771	 4.298	14.416	13.196	17.677
22	309.293	16.705	10.435	 4.952	19.296	19.201	27.820
23	122.210	17.473	 9.188	 3.984	13.000	11.701	15.666
24	172.424	22.131	11.437	 5.032	16.871	15.445	20.688
25	170.845	15.688	 8.914	 4.032	14.292	13.539	18.539
