period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	210.156	15.611	 9.262	 4.251	15.455	14.906	21.515
2	218.564	10.534	 6.977	 3.334	13.158	13.438	20.000
3	253.905	12.090	 8.052	 3.874	15.489	15.692	23.882
4	246.571	11.018	 7.381	 3.575	14.491	15.046	22.159
5	214.298	14.329	 8.532	 3.969	14.833	14.562	20.869
6	152.354	14.336	 8.152	 3.664	12.795	12.019	16.273
7	123.880	14.898	 8.136	 3.606	12.251	11.312	15.356
8	154.826	14.567	 8.284	 3.723	13.001	12.213	16.535
9	72.223	22.493	 9.922	 4.091	12.086	10.278	13.323
10	154.775	20.041	10.365	 4.563	15.281	13.994	18.739
11	176.901	19.303	10.536	 4.704	16.191	15.082	20.169
12	162.520	21.052	10.889	 4.793	16.052	14.700	19.684
13	120.810	22.818	11.428	 4.889	15.488	13.718	18.317
14	237.352	11.434	 7.573	 3.619	14.283	14.587	21.710
15	278.673	10.692	 7.573	 3.742	15.791	16.495	26.136
16	290.657	11.677	 8.208	 4.029	16.775	17.679	25.766
17	184.115	13.553	 8.036	 3.687	13.418	12.939	18.682
18	308.477	12.429	 8.737	 4.289	17.853	18.816	27.421
19	273.103	12.964	 8.632	 4.153	16.610	16.827	25.612
20	175.060	14.717	 8.372	 3.815	13.695	13.090	17.645
21	198.754	14.440	 8.576	 3.962	14.614	14.218	20.203
22	101.650	22.746	10.974	 4.627	14.257	12.421	16.519
23	191.216	13.876	 8.241	 3.807	14.043	13.662	19.414
24	289.401	 9.349	 7.255	 3.728	17.048	18.951	30.121
25	275.555	 8.890	 7.012	 3.673	17.487	21.114	33.135
