period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	22.176	275.194	172.495	31.717	29.582	15.996	15.406
2	28.700	372.027	138.796	30.412	32.771	18.452	18.191
3	19.585	157.866	320.143	49.572	34.602	17.359	15.978
4	25.277	302.708	199.872	37.299	34.446	18.536	17.786
5	12.337	53.418	462.207	69.847	31.556	14.199	12.288
6	18.327	114.909	412.640	73.943	39.085	18.569	16.573
7	 8.275	17.703	181.445	287.801	40.081	14.547	11.307
8	12.491	54.160	481.538	77.282	32.680	14.606	12.592
9	11.857	27.262	274.785	349.767	54.349	20.177	15.824
10	11.997	58.291	432.558	61.632	29.347	13.373	11.662
11	12.267	69.734	344.796	46.936	26.172	12.409	11.072
12	 9.390	36.958	392.584	77.266	26.968	11.704	 9.933
13	12.000	37.575	453.126	158.284	40.242	16.687	13.783
14	35.256	424.245	98.846	23.804	32.058	19.257	19.750
15	 9.392	21.646	223.432	284.439	43.266	16.001	12.542
16	 6.529	12.664	111.425	278.868	34.942	12.420	 9.451
17	 7.179	 9.150	44.933	188.614	64.949	19.781	13.576
18	 7.866	 8.026	34.214	90.738	106.993	26.245	17.396
19	 9.015	 8.861	36.171	93.862	126.550	31.657	20.383
20	10.449	13.727	70.982	319.007	94.149	27.734	19.245
21	11.325	29.671	356.002	242.317	46.226	17.564	14.110
22	14.789	242.665	73.276	15.560	17.013	 9.493	 9.328
23	23.711	459.435	48.760	13.560	19.265	11.835	12.316
24	29.444	238.522	37.145	11.042	18.568	12.163	13.176
25	13.074	226.775	59.345	13.757	14.962	 8.400	 8.286
