period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	182.249        	35.8014        	31.6095        	16.9593        	87.3047        	93.4553        	127.754        
2	238.108        	33.18          	26.6973        	13.2774        	67.7264        	70.6514        	101.917        
3	257.895        	23.8454        	22.8937        	12.2062        	74.466         	86.1779        	135.931        
4	180.15         	86.0306        	71.8362        	38.47          	111.641        	94.4849        	115.912        
5	145.098        	55.4076        	44.6072        	23.8715        	79.6147        	68.9627        	88.2774        
6	169.887        	57.9866        	41.634         	21.5568        	70.2526        	62.9575        	75.3988        
7	72.1868        	122.502        	36.1192        	13.4482        	36.2156        	25.3735        	27.326         
8	136.185        	73.5682        	29.2777        	11.4425        	35.4894        	26.4411        	32.202         
9	138.562        	89.4193        	34.6732        	13.0879        	40.2628        	29.5824        	35.5978        
10	256.157        	50.9368        	29.2677        	11.8511        	43.8541        	37.2859        	51.57          
11	342.573        	27.9563        	21.7725        	10.4897        	43.0398        	37.089         	50.8961        
12	181.658        	96.3774        	50.2268        	15.5006        	51.6373        	43.1431        	59.6657        
13	158.975        	62.878         	26.6032        	10.6263        	34.0293        	26.0525        	32.4019        
14	199.616        	28.4804        	18.1687        	8.1958         	29.7328        	24.087         	30.7637        
15	143.845        	56.9754        	24.3719        	9.73519        	31.3038        	23.8942        	29.6456        
16	262.737        	19.1026        	14.4671        	6.94087        	27.3774        	23.4386        	30.9519        
17	143.152        	30.1848        	17.9351        	7.906          	27.3836        	21.4068        	26.4834        
18	208.353        	32.3856        	20.9533        	8.67877        	34.2916        	30.4842        	44.2703        
19	178.656        	44.9705        	23.232         	9.32206        	32.6472        	26.275         	35.0258        
20	147.181        	40.3088        	20.6329        	8.74732        	29.2001        	22.6416        	28.1183        
21	166.963        	28.7315        	16.7644        	7.25576        	26.2201        	21.5855        	28.4897        
22	225.631        	21.7479        	16.5711        	7.75472        	32.0781        	28.023         	39.7861        
23	173.993        	29.8488        	16.5082        	7.19435        	25.3207        	20.6711        	26.5618        
24	182.439        	37.7413        	21.1733        	8.66599        	31.6414        	26.2982        	36.067         
25	185.41         	22.6098        	14.8026        	6.72055        	25.3773        	21.2442        	28.2122        
