period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	489.89         	28.6898        	21.3988        	10.3204        	41.5772        	37.4884        	51.566         
2	549.986        	32.4109        	23.6989        	11.394         	45.8556        	41.6635        	57.7789        
3	431.793        	30.4015        	21.0058        	9.88452        	37.9218        	33.4741        	44.9585        
4	353.401        	29.8192        	20.6922        	9.70056        	36.588         	31.3728        	41.1818        
5	436.351        	30.8274        	22.1573        	10.5348        	40.6638        	35.375         	46.8994        
6	429.288        	30.0852        	21.365         	10.1204        	38.9691        	34.0509        	45.3488        
7	311.594        	26.6211        	18.1207        	8.45676        	31.5231        	26.9718        	35.221         
8	241.055        	30.6273        	19.1444        	8.63899        	30.7869        	25.7252        	32.8608        
9	210.599        	31.1041        	17.6846        	7.80646        	27.3645        	22.7226        	29.4322        
10	223.286        	34.1526        	19.3031        	8.49744        	29.0393        	23.9487        	30.5372        
11	214.476        	43.3334        	24.0903        	10.504         	34.8327        	28.0439        	34.9754        
12	368.288        	56.8765        	31.7442        	13.9255        	48.3012        	39.8434        	51.5359        
13	511.965        	26.5675        	20.1553        	9.81238        	40.3245        	37.2573        	52.3511        
14	370.389        	28.2517        	20.1961        	9.57341        	36.9623        	32.063         	42.6239        
15	462.722        	23.6145        	18.3743        	9.0131         	36.842         	33.2066        	45.2846        
16	458.758        	24.0749        	18.1182        	8.78926        	35.3835        	32.0215        	43.7826        
17	434.231        	29.7986        	21.3673        	10.1504        	39.5406        	34.7679        	46.6886        
18	364.09         	41.6673        	25.4907        	11.5258        	41.3636        	34.8213        	45.2679        
19	432.174        	50.0683        	30.5138        	13.7539        	49.9082        	42.24          	55.5605        
20	523.984        	38.6495        	28.9334        	13.8984        	58.5104        	54.3774        	78.7162        
21	912.348        	34.3166        	29.9587        	15.4809        	71.4706        	70.7214        	106.151        
22	799.459        	32.9357        	28.3255        	14.5803        	68.6506        	70.9826        	111.36         
23	854.136        	28.662         	27.5573        	14.9754        	76.261         	81.5472        	130.099        
24	1064.37        	30.4925        	28.4802        	15.2489        	74.407         	77.3518        	118.06         
25	513.081        	23.9612        	26.1015        	15.1978        	91.6531        	115.189        	227.177        
