period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	346.152        	12.276         	12.0514        	6.59566        	34.0667        	36.6907        	60.07          
2	360.773        	14.4433        	13.5335        	7.21217        	35.7403        	37.1583        	59.5533        
3	209.16         	9.99079        	10.8358        	6.2768         	36.7793        	44.6704        	82.0764        
4	289.982        	10.9088        	11.0617        	6.1657         	33.0913        	36.8432        	61.6586        
5	331.7          	11.947         	11.4396        	6.16034        	30.6469        	31.6926        	49.5715        
6	284.974        	11.2078        	11.4581        	6.41618        	35.2914        	40.464         	71.9594        
7	348.269        	11.4194        	10.8738        	5.87838        	29.5803        	31.4784        	49.7957        
8	263.344        	10.6253        	10.3636        	5.61911        	28.4206        	29.4052        	46.7705        
9	308.081        	12.7531        	12.174         	6.53821        	32.8426        	33.9941        	54.2598        
10	220.213        	9.46534        	9.79711        	5.47163        	29.2561        	31.7262        	52.2992        
11	287.408        	15.991         	13.0854        	6.50388        	28.8377        	27.7155        	42.7876        
12	192.352        	17.7445        	12.1871        	5.67368        	21.8707        	19.1148        	26.0793        
13	253.644        	18.0225        	13.1392        	6.28752        	25.5814        	23.2562        	32.8854        
14	191.596        	20.6623        	13.3334        	6.08345        	23.1925        	20.1105        	27.6157        
15	167.039        	19.4201        	12.4379        	5.66473        	20.3984        	17.0577        	21.9951        
16	114.448        	22.4032        	13.3446        	5.91556        	20.0282        	15.999         	19.8286        
17	187.069        	18.2643        	11.9229        	5.48974        	20.1884        	17.2198        	22.5158        
18	142.056        	24.3733        	13.8466        	6.07372        	20.6161        	16.7778        	21.1815        
19	170.936        	22.3288        	13.8576        	6.255          	21.9643        	18.2322        	23.2404        
20	289.687        	17.8737        	13.483         	6.56415        	27.8405        	26.1036        	38.6096        
21	272.178        	14.4063        	11.8432        	5.93632        	26.5461        	26.0605        	39.5656        
22	233.492        	15.8863        	12.0742        	5.8316         	23.5822        	21.0334        	28.8829        
23	218.196        	18.6278        	13.1367        	6.17487        	24.0916        	21.1128        	28.8238        
24	299.36         	16.024         	11.7069        	5.62656        	22.3565        	20.2134        	27.6085        
25	253.094        	16.4245        	11.7235        	5.57419        	21.6536        	19.2027        	25.8527        
