period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	137.844        	85.1465        	40.6092        	15.6041        	52.2228        	37.1063        	43.1671        
2	75.6511        	80.7358        	33.7792        	13.2661        	41.9075        	28.3769        	31.6634        
3	81.2909        	135.595        	45.2083        	16.9112        	49.7273        	32.8712        	35.7989        
4	121.211        	81.3672        	38.356         	15.2878        	50.0537        	35.1341        	40.7904        
5	106.496        	55.9528        	30.1925        	12.8838        	43.0292        	30.1586        	34.2179        
6	144.366        	44.5598        	28.5769        	12.4772        	44.1756        	32.097         	37.9207        
7	162.262        	53.1588        	33.1203        	14.29          	50.0841        	36.6555        	43.1942        
8	102.956        	150.522        	52.647         	18.4286        	55.6798        	37.424         	42.6337        
9	120.676        	152.926        	63.3285        	20.1433        	65.2777        	44.7978        	53.6462        
10	166.356        	60.4725        	35.2026        	14.9939        	52.2204        	37.5152        	44.6511        
11	101.564        	76.2336        	36.167         	14.8619        	48.0628        	32.829         	36.994         
12	44.3816        	275.874        	60.2492        	19.9653        	50.1566        	29.8117        	30.129         
13	126.791        	120.774        	56.3102        	18.3684        	60.9726        	44.5242        	53.3658        
14	115.1          	131.097        	56.6873        	17.8681        	59.0903        	41.3931        	50.1419        
15	80.2706        	163.968        	53.3726        	18.049         	53.7104        	34.8995        	39.0795        
16	144.456        	89.8913        	43.428         	16.7624        	56.2711        	39.681         	46.8662        
17	87.1301        	137.585        	47.5254        	17.2934        	51.2451        	33.8217        	37.0702        
18	79.1633        	188.14         	63.4467        	19.932         	59.7833        	38.33          	41.5847        
19	99.283         	161.016        	67.2105        	20.2584        	66.162         	45.9988        	51.86          
20	72.8086        	140.661        	45.9629        	17.1273        	49.5629        	32.1762        	34.6844        
21	103.214        	183.792        	63.2116        	21.82          	64.8692        	43.0429        	46.7233        
22	43.6026        	373.692        	81.3622        	24.1156        	54.8385        	31.2493        	30.8958        
23	53.3508        	296.281        	69.6817        	22.2577        	56.2877        	33.7322        	34.3595        
24	62.4411        	293.604        	80.5399        	24.0702        	63.8062        	37.9011        	38.9467        
25	57.6874        	238.699        	63.0694        	20.0051        	53.2287        	32.6123        	33.7586        
