period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	72.961	 4.653	 3.757	 2.081	 9.781	12.504	20.769
2	50.821	 6.373	 3.583	 1.677	 5.669	 5.717	 8.257
3	82.514	 5.454	 4.035	 2.134	 9.155	11.372	17.743
4	65.078	 3.995	 3.088	 1.664	 7.461	 9.482	15.439
5	28.522	 8.334	 3.805	 1.625	 4.580	 4.192	 5.616
6	65.007	 7.857	 4.441	 2.096	 7.163	 7.175	10.621
7	26.866	13.561	 5.411	 2.171	 5.512	 4.771	 6.121
8	59.908	 7.160	 4.045	 1.908	 6.530	 6.539	 9.685
9	66.532	10.223	 5.518	 2.536	 8.183	 8.165	11.248
10	76.953	 6.631	 4.167	 2.062	 7.753	 8.404	12.622
11	45.872	 8.318	 4.301	 1.932	 6.005	 5.833	 7.971
12	52.757	 9.035	 4.683	 2.119	 6.673	 6.539	 8.801
13	79.140	 5.834	 3.997	 2.031	 8.061	 9.255	13.972
14	60.547	 7.208	 4.070	 1.919	 6.573	 6.582	 9.751
15	51.602	 7.687	 4.139	 1.898	 6.153	 6.134	 8.461
16	58.431	 8.232	 4.446	 2.054	 6.747	 6.786	 9.215
17	62.209	 6.659	 3.972	 1.885	 6.549	 6.739	 9.888
18	22.670	14.979	 5.506	 2.152	 5.232	 4.421	 5.531
19	24.577	14.290	 5.474	 2.179	 5.375	 4.578	 5.808
20	25.302	 9.659	 4.141	 1.709	 4.546	 4.027	 5.156
21	20.743	12.027	 4.460	 1.807	 4.530	 3.887	 4.878
22	28.733	11.016	 4.580	 1.933	 5.213	 4.657	 6.083
23	28.349	12.752	 5.205	 2.129	 5.491	 4.789	 6.073
24	56.066	 9.633	 4.994	 2.261	 7.114	 6.972	 9.384
25	82.732	 7.645	 4.827	 2.358	 8.618	 9.196	13.934
