period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	 5.722	 2.190	 4.688	 5.203	65.019	60.533	29.334
2	 5.540	29.930	86.741	23.692	11.350	 5.594	 4.980
3	 7.242	 2.473	 4.960	 5.194	63.443	77.072	40.783
4	 6.374	 2.739	 6.240	 7.490	85.464	58.338	28.832
5	 6.579	 2.828	 6.441	 7.730	87.850	60.054	29.727
6	 5.087	 2.400	 5.798	 7.439	79.579	42.408	21.256
7	 3.605	 2.188	 6.186	 9.671	64.089	21.978	12.177
8	 3.443	 1.961	 5.333	 7.775	62.605	23.559	12.402
9	 3.857	 2.129	 5.675	 8.222	69.018	27.752	14.673
10	 3.413	 2.172	 6.265	10.408	60.864	19.853	11.273
11	 2.852	 2.060	 6.453	11.686	47.484	14.591	 8.311
12	 2.834	 2.080	 6.636	12.509	47.519	14.285	 8.310
13	 2.554	 1.815	 5.746	10.265	43.393	13.022	 7.617
14	 3.250	 2.504	 8.167	15.580	49.765	15.390	 9.132
15	 5.765	 3.293	 8.905	12.942	96.790	38.450	20.523
16	 4.870	 2.867	 7.928	11.952	84.424	31.103	17.355
17	 4.891	 2.790	 7.566	11.012	85.266	33.028	17.513
18	 3.631	 2.385	 6.985	12.037	62.728	21.050	11.874
19	 3.990	 3.076	10.009	19.046	60.057	18.816	11.188
20	 3.827	 2.766	 8.639	15.605	62.172	19.458	11.116
21	 3.453	 2.378	 7.218	12.738	59.041	18.638	10.412
22	 3.694	 2.465	 7.382	12.537	64.266	20.013	11.265
23	 2.884	 2.185	 7.030	13.816	47.009	13.645	 8.322
24	 2.894	 2.024	 6.281	10.951	50.792	15.805	 8.568
25	 3.002	 2.034	 6.238	10.301	53.941	16.487	 9.251
