period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	17.659	13.483	 4.750	 1.848	 4.359	 3.627	 4.492
2	14.478	19.264	 5.412	 2.071	 4.382	 3.457	 4.139
3	10.626	23.499	 5.723	 2.060	 3.960	 2.988	 3.478
4	18.790	15.661	 5.291	 2.027	 4.706	 3.887	 4.790
5	18.300	12.077	 4.433	 1.732	 4.213	 3.559	 4.453
6	23.446	 8.959	 3.721	 1.569	 4.236	 3.783	 4.944
7	26.778	10.274	 4.412	 1.822	 4.842	 4.291	 5.492
8	11.015	22.946	 5.932	 2.102	 4.108	 3.122	 3.651
9	12.681	22.715	 6.208	 2.221	 4.408	 3.376	 3.966
10	26.337	11.494	 4.612	 1.926	 5.040	 4.431	 5.741
11	17.962	17.321	 5.594	 2.139	 4.816	 3.916	 4.779
12	 7.249	56.809	10.862	 3.331	 4.647	 3.090	 3.321
13	15.895	19.928	 5.944	 2.244	 4.822	 3.833	 4.611
14	10.502	18.900	 5.005	 1.805	 3.646	 2.811	 3.318
15	 9.457	29.828	 6.748	 2.297	 4.133	 3.030	 3.463
16	21.815	16.680	 5.896	 2.296	 5.408	 4.503	 5.575
17	11.262	24.905	 6.066	 2.183	 4.197	 3.167	 3.686
18	 9.858	37.794	 8.320	 2.713	 4.636	 3.327	 3.752
19	10.540	29.169	 6.843	 2.343	 4.287	 3.165	 3.634
20	10.428	27.202	 6.771	 2.281	 4.243	 3.155	 3.639
21	12.833	33.189	 8.345	 2.817	 5.232	 3.895	 4.492
22	 5.621	56.434	11.425	 3.293	 4.215	 2.688	 2.817
23	 7.434	50.557	 9.627	 3.004	 4.410	 2.971	 3.221
24	 8.289	55.966	10.729	 3.353	 4.919	 3.316	 3.595
25	 7.179	43.564	 8.146	 2.631	 4.069	 2.799	 3.073
