period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	 1.340	 1.749	 8.489	27.804	11.046	 3.682	 2.541
2	 1.284	 1.588	 7.435	23.659	11.504	 3.651	 2.525
3	 1.365	 1.301	 4.917	12.267	17.759	 5.235	 3.232
4	 9.710	 1.202	 1.484	 1.039	 7.686	16.120	30.881
5	 4.209	48.522	18.899	 4.604	 4.456	 2.592	 2.565
6	 1.293	 1.967	10.148	34.995	 9.272	 3.185	 2.255
7	 1.540	 1.837	 8.259	26.127	14.885	 4.667	 3.101
8	 1.350	 2.483	15.798	41.202	 7.239	 2.736	 2.042
9	 1.406	 2.394	13.543	42.362	 8.607	 3.089	 2.256
10	 1.472	 2.452	14.196	44.307	 9.291	 3.285	 2.389
11	 1.576	 2.134	10.698	35.660	12.621	 4.174	 2.915
12	 1.728	 2.493	12.557	42.686	12.669	 4.390	 3.082
13	 1.440	 1.600	 7.022	20.169	15.066	 4.629	 3.045
14	 1.421	 2.157	11.118	39.478	10.158	 3.441	 2.447
15	 1.734	 1.894	 7.827	22.632	17.997	 5.557	 3.709
16	 1.398	 1.965	10.227	35.185	10.943	 3.618	 2.527
17	 1.784	 3.627	23.314	51.420	 9.116	 3.442	 2.603
18	 1.434	 1.942	 9.756	32.699	11.516	 3.801	 2.654
19	 1.691	 2.696	14.131	47.880	11.682	 3.961	 2.844
20	 1.770	 2.268	10.382	36.144	15.376	 4.856	 3.394
21	 1.729	 3.189	18.978	52.032	 9.557	 3.557	 2.644
22	 2.187	 3.648	19.395	62.722	13.720	 4.950	 3.588
23	 1.507	 2.079	10.243	35.853	12.089	 3.964	 2.756
24	 1.507	 2.566	14.516	45.399	 9.226	 3.311	 2.418
25	 1.624	 2.712	14.561	48.027	10.268	 3.683	 2.667
