period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	57.608	 3.486	 2.763	 1.518	 7.093	 8.948	15.322
2	64.104	 4.005	 3.047	 1.631	 7.223	 9.034	14.025
3	38.484	 2.553	 2.339	 1.371	 7.319	10.482	18.911
4	48.499	 2.901	 2.431	 1.361	 6.628	 8.956	14.930
5	57.128	 3.433	 2.653	 1.428	 6.424	 8.165	13.321
6	46.855	 2.913	 2.422	 1.365	 6.738	 8.994	15.261
7	49.344	 2.920	 2.293	 1.242	 5.670	 7.129	11.645
8	54.518	 3.250	 2.553	 1.383	 6.308	 7.930	12.945
9	61.509	 3.706	 2.864	 1.542	 6.932	 8.811	14.371
10	50.490	 3.012	 2.524	 1.413	 6.884	 9.302	15.512
11	57.971	 4.176	 2.828	 1.424	 5.610	 6.304	 9.623
12	43.667	 5.326	 2.988	 1.397	 4.739	 4.776	 6.907
13	54.379	 4.842	 3.029	 1.465	 5.322	 5.720	 8.490
14	46.692	 5.818	 3.254	 1.511	 5.052	 5.122	 7.414
15	33.978	 6.003	 3.096	 1.388	 4.331	 4.203	 5.751
16	29.396	 7.919	 3.604	 1.548	 4.436	 4.092	 5.411
17	34.886	 5.185	 2.777	 1.262	 4.054	 4.002	 5.465
18	27.855	 6.976	 3.291	 1.424	 4.140	 3.851	 5.181
19	32.880	 6.668	 3.260	 1.441	 4.372	 4.171	 5.710
20	55.994	 4.586	 2.876	 1.420	 5.373	 5.820	 8.765
21	53.232	 3.707	 2.535	 1.285	 5.138	 5.897	 8.933
22	53.783	 5.273	 3.119	 1.499	 5.368	 5.625	 8.184
23	49.436	 5.730	 3.231	 1.521	 5.228	 5.231	 7.760
24	41.703	 4.242	 2.492	 1.189	 4.208	 4.442	 6.312
25	39.873	 4.564	 2.571	 1.210	 4.164	 4.166	 6.184
