period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	240.726        	6.80483        	4.85978        	2.39395        	10.2069        	11.0392        	16.8981        
2	209.221        	5.80388        	4.24642        	2.12071        	9.48593        	10.9247        	17.4599        
3	208.659        	5.10926        	4.14814        	2.18706        	10.8084        	13.1521        	22.4656        
4	214.838        	7.06158        	4.78642        	2.30186        	9.38974        	9.89442        	14.9339        
5	223.406        	6.33002        	4.64414        	2.31344        	10.1755        	11.2368        	17.6885        
6	264.991        	4.74941        	3.76859        	1.95965        	9.03755        	10.1085        	15.7212        
7	181.969        	7.84109        	4.95133        	2.31047        	8.91241        	9.05148        	13.2593        
8	165.176        	6.91488        	4.45522        	2.08881        	8.08088        	8.14356        	11.8359        
9	227.786        	5.80655        	4.13201        	2.03365        	8.67406        	9.38826        	14.4313        
10	250.472        	6.52946        	4.78541        	2.38854        	10.5157        	11.5824        	18.0399        
11	220.9          	5.54638        	4.09082        	2.05043        	9.14576        	10.3792        	16.2647        
12	234.446        	5.6371         	3.7274         	1.82856        	7.84426        	9.21776        	14.6968        
13	193.987        	4.54259        	3.01785        	1.44509        	6.15802        	7.11749        	11.3048        
14	239.717        	5.77753        	3.9145         	1.89819        	7.84094        	8.46846        	12.8616        
15	144.69         	5.6754         	3.81884        	1.94303        	9.21679        	11.2735        	19.0423        
16	144.54         	8.38753        	4.856          	2.19445        	8.09251        	8.03491        	11.6904        
17	154.606        	8.43289        	5.04299        	2.29555        	8.47512        	8.4087         	12.126         
18	170.129        	6.23837        	4.31842        	2.08335        	8.5554         	8.84344        	13.1356        
19	188.918        	7.95974        	5.14206        	2.41523        	9.63464        	9.96199        	14.9022        
20	192.085        	8.03444        	5.07319        	2.37247        	9.26374        	9.53039        	14.1386        
21	224.7          	6.47086        	4.56502        	2.23235        	9.40784        	10.0448        	15.2351        
22	203.061        	6.79712        	4.52167        	2.15406        	8.56318        	8.80956        	12.9357        
23	172.804        	8.4699         	5.00944        	2.28977        	8.65364        	8.8376         	13.277         
24	110.042        	10.0317        	5.49914        	2.41345        	8.22308        	7.69698        	10.6072        
25	194.485        	8.76287        	5.46066        	2.53223        	9.74624        	9.93355        	14.7347        
