period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	160.606        	8.98459        	5.06992        	2.29063        	8.27381        	8.24695        	11.8888        
2	174.56         	8.12128        	4.83116        	2.22212        	8.58661        	8.82094        	13.3934        
3	237.057        	5.56751        	3.65663        	1.77823        	7.45729        	8.73446        	13.872         
4	118.384        	8.42756        	4.65808        	2.07011        	7.18333        	6.96157        	9.79513        
5	225.908        	6.42283        	4.23378        	2.03165        	8.25386        	8.85355        	13.4767        
6	197.654        	7.90229        	5.19527        	2.46296        	9.77083        	10.074         	14.9882        
7	155.362        	6.33031        	4.09133        	2.00997        	8.60803        	9.76936        	15.737         
8	170.926        	8.84279        	5.24776        	2.40314        	9.39082        	9.64181        	14.3834        
9	188.546        	7.30145        	4.8695         	2.32761        	9.51491        	10.0328        	15.4           
10	149.444        	7.62592        	4.31118        	1.98603        	7.63574        	8.33414        	12.6966        
11	152.239        	9.36061        	5.2547         	2.36412        	8.57614        	8.48628        	12.2567        
12	112.063        	9.76428        	5.1588         	2.25262        	7.60738        	7.22855        	10.0909        
13	130.949        	9.09731        	5.17054        	2.31036        	8.17765        	7.89419        	11.1331        
14	157.342        	8.42594        	4.86101        	2.20613        	8.10288        	8.20598        	11.7941        
15	69.3119        	13.5428        	5.99738        	2.46388        	7.39735        	6.6145         	8.82551        
16	56.1488        	15.5967        	6.3558         	2.53545        	7.26883        	6.23786        	8.10346        
17	36.7762        	16.456         	6.68333        	2.62869        	7.15835        	5.92067        	7.46809        
18	36.8485        	19.0674        	6.82013        	2.60926        	6.85058        	5.62108        	7.07389        
19	60.372         	12.7339        	5.28667        	2.13245        	6.14552        	5.96113        	9.11758        
20	52.5931        	13.9381        	6.1691         	2.51326        	7.43393        	6.32117        	8.15756        
21	27.2642        	30.9767        	8.71744        	3.13222        	7.29493        	5.63267        	6.81091        
22	49.5799        	26.5479        	8.12869        	3.05158        	8.00413        	6.5911         	8.37529        
23	51.6607        	18.5041        	6.54732        	2.49352        	6.86117        	5.86019        	7.63085        
24	27.6948        	38.3058        	9.41605        	3.29672        	7.55615        	5.7681         	7.01935        
25	20.2422        	39.4045        	8.45874        	2.88717        	6.23768        	4.65671        	5.52362        
