period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	182.762        	6.95887        	5.67234        	3.08063        	15.9149        	20.6437        	37.651         
2	160.028        	10.2574        	5.57467        	2.5406         	9.18688        	9.35694        	13.7554        
3	199.953        	10.0967        	6.60946        	3.28533        	15.3256        	20.3429        	33.2817        
4	167.665        	6.37733        	4.87285        	2.52333        	12.4415        	15.657         	27.567         
5	61.7958        	14.1796        	5.81728        	2.37855        	6.97997        	6.45768        	8.74638        
6	161.74         	13.1089        	7.13956        	3.14773        	11.9086        	12.1367        	17.8523        
7	52.4779        	24.0675        	8.08499        	3.13291        	8.29195        	7.16126        	9.27382        
8	158.59         	11.5978        	6.14063        	2.84097        	10.1637        	10.6           	16.1421        
9	151.41         	16.5214        	8.35661        	3.73104        	13.0525        	12.7303        	18.233         
10	231.566        	9.75078        	6.28164        	3.04042        	12.4187        	13.3062        	20.4284        
11	114.769        	14.9695        	6.67505        	2.89376        	9.01717        	9.2646         	14.0652        
12	120.63         	13.5117        	6.87244        	3.02797        	10.007         	9.70139        	13.6491        
13	222.529        	8.8587         	5.84572        	2.88417        	12.3202        	14.1539        	22.3255        
14	160.795        	12.1792        	6.4094         	2.90728        	10.8023        	11.0175        	16.247         
15	139.501        	12.7163        	6.33697        	2.79623        	9.65862        	9.64948        	14.1978        
16	149.866        	13.1418        	6.06438        	2.6049         	8.6423         	9.61405        	14.758         
17	177.903        	11.6581        	6.30306        	2.72847        	9.89716        	10.8486        	18.2074        
18	45.1087        	29.7366        	8.86759        	3.28365        	8.06857        	7.16206        	9.00871        
19	54.4082        	28.6122        	9.30611        	3.5343         	9.34027        	7.7683         	9.91973        
20	88.061         	25.6846        	9.13061        	3.47708        	9.78494        	8.53099        	11.3191        
21	57.9085        	25.3375        	9.0392         	3.49497        	9.28728        	7.80422        	9.99014        
22	53.2969        	16.0676        	7.0024         	2.86026        	8.22373        	7.1523         	9.29318        
23	47.6258        	19.4671        	7.85819        	3.13745        	8.63215        	7.32283        	9.36569        
24	134.275        	14.0324        	7.44869        	3.31019        	11.2401        	10.8746        	14.6622        
25	245.791        	10.7332        	6.68405        	3.17196        	12.4437        	13.3982        	20.1051        
