period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	5.51826        	4.29707        	13.8249        	25.2603        	75.0524        	24.0406        	14.6095        
2	5.08687        	3.65731        	11.1354        	18.6553        	77.5822        	23.9383        	14.2504        
3	6.82924        	2.9283         	6.70504        	8.19385        	88.3134        	59.5854        	31.6974        
4	5.67634        	2.55291        	5.85461        	6.96553        	90.3704        	50.45          	24.77          
5	7.28161        	2.92648        	6.3229         	7.10554        	92.9124        	75.4128        	36.4518        
6	2.88588        	9.15682        	72.9511        	29.6936        	8.94636        	3.89491        	3.21969        
7	2.34308        	1.58767        	4.74433        	7.74169        	41.422         	12.262         	7.06226        
8	2.71065        	1.69556        	4.77745        	7.13617        	49.5371        	15.2973        	8.63136        
9	3.9739         	2.38157        	6.49447        	9.4226         	74.5578        	23.5763        	13.1078        
10	2.60814        	1.68144        	4.83228        	7.40138        	46.9112        	14.2035        	8.09528        
11	3.10081        	2.19772        	6.74435        	11.4561        	51.48          	15.3799        	8.99366        
12	2.81888        	2.05182        	6.37308        	10.851         	44.685         	13.2833        	7.8853         
13	2.78083        	2.06416        	6.53576        	11.451         	43.9502        	13.0988        	7.77654        
14	3.28784        	2.0276         	5.65542        	8.39815        	60.8364        	18.9134        	10.6062        
15	3.01414        	2.13101        	6.51096        	10.953         	49.163         	14.7941        	8.6774         
16	2.86024        	2.56278        	9.1908         	19.1387        	36.1883        	10.928         	6.8787         
17	3.70242        	3.026          	10.308         	20.7337        	52.3368        	15.9031        	9.59224        
18	3.25335        	2.86161        	10.1314        	21.4512        	41.6498        	12.5388        	7.86769        
19	2.26633        	2.11712        	7.77132        	16.6802        	26.5958        	8.14255        	5.2205         
20	2.72743        	1.96258        	6.08692        	10.3596        	45.1919        	13.2947        	7.8192         
21	2.866          	1.96202        	5.85148        	9.41202        	48.474         	14.4738        	8.42605        
22	2.63085        	2.06995        	6.78924        	12.5044        	38.5808        	11.421         	6.93616        
23	2.49648        	2.35323        	8.68302        	19.1966        	28.3236        	8.71704        	5.63443        
24	3.19879        	3.41219        	13.7851        	36.5749        	31.723         	10.0754        	6.69816        
25	4.13543        	6.13354        	32.097         	92.7792        	27.9414        	9.80028        	7.04567        
