period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	121.671        	6.14304        	4.89092        	2.66879        	13.0995        	18.2003        	32.8544        
2	63.1433        	9.92185        	4.8244         	2.07346        	6.84583        	7.0484         	10.1338        
3	109.398        	9.72788        	6.83726        	3.26777        	14.5967        	19.5145        	31.433         
4	99.2974        	5.87081        	4.38361        	2.29045        	10.8683        	14.2507        	25.6374        
5	49.1818        	15.0962        	5.25316        	2.04361        	5.58785        	5.32789        	7.51723        
6	93.4319        	15.0848        	7.06442        	3.05343        	9.9959         	10.6321        	15.8397        
7	45.4435        	24.1527        	7.41679        	2.81818        	6.73034        	6.09653        	8.1922         
8	83.5416        	15.2028        	7.20202        	2.8399         	9.13558        	10.332         	14.6691        
9	109.45         	16.9211        	7.82806        	3.33823        	10.5283        	10.7561        	15.8482        
10	129.591        	9.64714        	5.43305        	2.59788        	9.69577        	10.9462        	17.1016        
11	66.9532        	19.6485        	8.428          	3.0958         	8.94132        	9.11254        	13.8541        
12	85.6912        	15.6586        	6.85876        	2.75984        	8.44218        	8.73522        	12.5521        
13	114.459        	9.75834        	5.94601        	2.87275        	11.2501        	13.6968        	22.5868        
14	93.4672        	12.5515        	6.02683        	2.5794         	8.68936        	9.22234        	14.6982        
15	74.4379        	15.0986        	6.35004        	2.62412        	7.97162        	8.47346        	12.0038        
16	73.8126        	21.0639        	9.09554        	3.53565        	10.7001        	11.3732        	16.9285        
17	83.4606        	15.5082        	6.7383         	2.95712        	9.62273        	10.4265        	15.942         
18	43.2745        	29.5111        	8.96958        	3.07651        	7.06237        	6.29788        	8.8497         
19	44.4506        	26.7412        	7.48681        	2.81068        	6.6564         	5.9054         	7.94063        
20	37.0361        	16.5583        	5.68109        	2.10477        	5.45396        	4.92721        	6.65338        
21	25.7458        	14.4167        	5.11661        	2.05417        	5.13785        	4.3978         	5.55876        
22	39.0791        	14.7223        	5.36159        	2.21322        	5.86044        	5.28682        	6.95606        
23	35.6548        	17.2729        	6.01837        	2.41776        	6.13933        	5.40335        	6.94847        
24	77.6462        	12.4716        	5.80115        	2.58551        	8.00539        	7.89901        	10.9402        
25	133.755        	12.2755        	6.52928        	3.05141        	11.0881        	12.4971        	19.4358        
