period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	64.6297        	9.29952        	4.23922        	1.83021        	5.97899        	6.45736        	9.34877        
2	65.7382        	5.0377         	2.72366        	1.28401        	4.57844        	5.18846        	7.87068        
3	74.5618        	6.3545         	3.42519        	1.59145        	5.72141        	6.56626        	10.0721        
4	67.1353        	6.38626        	3.37745        	1.56825        	5.98511        	6.54451        	10.458         
5	73.1052        	7.28554        	3.57861        	1.61001        	5.43107        	5.73934        	8.55918        
6	49.8658        	7.1878         	3.3522         	1.39528        	4.37652        	4.39888        	6.23196        
7	45.6322        	7.7351         	3.35844        	1.39853        	4.23806        	4.23864        	5.92654        
8	51.6035        	7.19438        	3.28213        	1.41347        	4.43779        	4.45237        	6.30223        
9	32.8707        	13.1847        	4.3263         	1.6679         	4.3726         	4.08553        	5.41768        
10	54.7632        	12.7515        	5.01761        	2.00621        	5.87686        	5.92114        	8.72503        
11	55.7251        	13.8664        	5.88193        	2.23312        	6.55081        	6.85242        	9.62874        
12	55.3151        	14.0034        	5.45299        	2.27096        	6.38086        	6.28794        	9.29077        
13	50.5303        	13.9221        	5.07456        	1.99283        	5.54692        	5.39024        	7.66634        
14	61.826         	6.86891        	3.52766        	1.55887        	5.43877        	6.06128        	9.39316        
15	78.5513        	5.69308        	3.35556        	1.55658        	6.02798        	7.01266        	11.0833        
16	86.8169        	6.04901        	3.51162        	1.76314        	6.51917        	7.54456        	11.8303        
17	54.1861        	8.73857        	3.96716        	1.62037        	5.15128        	5.45562        	8.0019         
18	80.4906        	6.69665        	3.74839        	1.74905        	6.72887        	7.80732        	12.4567        
19	77.1314        	7.60324        	4.14655        	1.84317        	6.66338        	7.50982        	11.6111        
20	52.2133        	7.81351        	3.45747        	1.51068        	4.8506         	4.986          	7.32784        
21	61.385         	8.75016        	3.89714        	1.69048        	5.61697        	5.90447        	8.78587        
22	45.1127        	15.164         	5.76961        	2.07011        	5.57464        	5.242          	7.63776        
23	63.8989        	7.10629        	3.35967        	1.51821        	5.02506        	5.28149        	7.78687        
24	77.1775        	5.15138        	3.20187        	1.59401        	6.80378        	8.95745        	15.0055        
25	84.2461        	3.81708        	2.71561        	1.42133        	6.534          	8.06951        	14.0574        
