period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	31.1362        	23.1075        	6.66446        	2.38282        	5.55098        	4.66607        	6.28366        
2	25.4471        	32.1801        	8.09716        	2.74698        	5.87441        	4.67795        	5.90368        
3	15.8813        	34.8251        	7.31394        	2.51371        	4.74721        	3.6284         	4.31633        
4	34.1785        	26.5123        	7.26883        	2.57519        	5.80784        	4.95328        	6.44249        
5	32.3891        	19.8462        	5.86372        	2.21407        	5.28156        	4.56782        	5.91509        
6	41.9641        	15.1803        	5.24686        	2.02465        	5.3118         	4.84758        	6.46596        
7	45.8496        	17.6165        	5.80946        	2.27834        	5.87329        	5.351          	7.14251        
8	17.8356        	34.6681        	7.88004        	2.70142        	5.00411        	3.85394        	4.70531        
9	24.654         	39.1903        	9.57445        	3.10283        	6.05916        	4.80568        	6.34648        
10	45.3042        	20.0414        	6.30259        	2.45351        	6.17494        	5.56398        	7.43216        
11	30.4575        	27.1806        	7.39919        	2.69894        	5.94212        	4.9802         	6.31472        
12	10.8115        	88.2184        	15.4391        	4.2826         	5.83027        	3.92364        	4.27244        
13	31.8787        	35.2022        	10.0963        	3.36177        	6.75418        	6.03108        	8.05543        
14	20.7628        	30.8677        	7.97508        	2.68444        	5.07726        	4.05022        	5.31306        
15	17.5366        	47.0149        	9.5841         	3.02764        	5.33272        	4.04201        	4.83329        
16	39.6637        	31.0632        	8.63521        	3.04565        	6.90926        	6.28589        	8.15065        
17	19.1593        	38.912         	8.2346         	2.76473        	5.20798        	4.04284        	4.84506        
18	19.0935        	57.6119        	12.1564        	3.73932        	6.22346        	4.61185        	5.96149        
19	21.4167        	44.7797        	11.8364        	3.68255        	6.6762         	5.04994        	6.03745        
20	16.3977        	43.907         	8.60476        	2.8502         	5.22914        	3.94916        	4.64486        
21	22.7446        	51.9451        	11.0645        	3.63424        	6.49721        	5.0076         	6.3833         
22	7.09074        	96.9484        	16.1022        	4.12088        	4.94118        	3.1567         	3.33023        
23	10.4529        	81.0137        	12.8895        	3.75448        	5.31486        	3.62074        	4.00223        
24	13.2509        	82.9328        	16.8548        	4.49748        	6.25144        	4.3353         	4.73029        
25	11.7605        	66.8444        	11.3477        	3.40115        	5.1889         	3.58483        	4.03351        
