period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	3.19805        	7.84015        	53.5054        	82.3745        	15.0787        	5.77732        	4.39448        
2	4.70221        	12.7473        	90.0691        	126.916        	23.2084        	8.20937        	6.2689         
3	5.66935        	18.5325        	99.2912        	104.541        	24.8422        	9.02689        	6.83615        
4	3.08094        	7.90769        	60.2874        	124.944        	15.3438        	5.60117        	4.25819        
5	5.18962        	11.6271        	55.1722        	89.4485        	24.5442        	8.99788        	6.69636        
6	5.02193        	10.8343        	70.8887        	138.996        	29.5945        	9.84614        	7.15133        
7	3.55276        	5.02528        	23.4069        	62.2328        	35.0849        	11.0127        	7.16044        
8	4.24321        	11.0224        	76.8463        	136.866        	22.7354        	8.31139        	5.9512         
9	3.73198        	9.167          	63.6458        	120.655        	21.2376        	7.1991         	5.31234        
10	2.67709        	5.6097         	34.9235        	88.5751        	15.9696        	5.67184        	4.05893        
11	5.61006        	9.55426        	58.9457        	116.356        	37.1736        	11.857         	8.38332        
12	2.84083        	7.96446        	65.7094        	100.295        	12.6765        	4.8204         	3.74404        
13	3.39743        	10.7127        	68.8936        	76.6652        	13.8812        	5.14894        	4.1436         
14	4.44463        	16.7961        	103.818        	82.0991        	16.7874        	6.31469        	5.08961        
15	4.84664        	14.9609        	112.265        	98.8459        	18.7323        	7.07           	5.58821        
16	4.0649         	13.5427        	78.6154        	85.8175        	16.3347        	6.57378        	4.82774        
17	4.75412        	18.7898        	104.895        	86.2171        	18.7912        	6.86516        	5.41886        
18	5.38452        	11.2096        	61.506         	101.343        	27.9735        	10.2541        	7.10701        
19	3.73601        	8.22348        	45.9461        	78.5848        	21.2499        	7.94077        	5.82757        
20	6.03659        	20.3787        	93.6526        	100.063        	26.307         	9.75049        	7.19467        
21	7.16152        	32.625         	141.193        	76.8341        	22.8425        	8.98276        	7.41089        
22	8.54766        	43.3703        	126.818        	70.816         	24.2269        	9.89312        	8.11462        
23	4.1706         	10.2725        	88.0999        	161.748        	21.4873        	7.83925        	5.90418        
24	7.42338        	34.1417        	106.219        	38.3854        	17.4176        	7.83493        	6.91798        
25	7.06216        	28.3539        	113.124        	91.6218        	26.8086        	10.3993        	7.64028        
