period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	77.3849        	3.82363        	3.06546        	1.68485        	7.87295        	10.3113        	17.3872        
2	92.2957        	4.74736        	3.69389        	1.8748         	8.3219         	10.616         	17.9522        
3	42.7014        	2.73987        	2.51979        	1.48144        	7.87842        	11.3785        	20.3944        
4	62.1428        	3.22363        	2.72895        	1.53352        	7.4236         	9.91498        	16.8015        
5	88.0531        	4.04309        	3.10859        	1.66997        	7.58351        	9.4873         	15.8097        
6	58.0918        	3.18923        	2.7276         	1.54253        	7.60684        	10.4025        	17.9472        
7	61.3192        	3.1832         	2.53395        	1.3787         	6.24132        	7.80124        	12.6401        
8	83.9884        	4.03546        	3.11544        	1.67882        	7.80772        	10.1846        	17.4848        
9	90.7636        	4.55803        	3.4146         	1.82076        	8.27215        	10.9763        	18.6222        
10	76.6292        	3.61886        	2.99085        	1.67241        	8.35787        	11.9904        	21.0194        
11	74.3634        	5.71151        	3.49424        	1.69613        	6.6119         	7.69856        	12.2826        
12	63.2329        	8.45759        	3.89952        	1.737          	5.84618        	6.00595        	8.84304        
13	72.1094        	7.30627        	3.7607         	1.74516        	6.22102        	6.77178        	10.3359        
14	63.4439        	10.4428        	4.39362        	1.92103        	6.20392        	6.46362        	9.55112        
15	48.9697        	7.77712        	3.64324        	1.61608        	4.9842         	4.82836        	6.6488         
16	40.963         	9.80827        	4.24667        	1.81133        	5.15095        	4.74739        	6.31595        
17	43.9985        	6.35947        	3.16839        	1.43476        	4.56631        	4.47599        	6.18757        
18	35.8185        	8.65058        	3.76315        	1.62174        	4.68238        	4.33494        	5.77487        
19	36.932         	7.3309         	3.60382        	1.60114        	4.84884        	4.5693         	6.13922        
20	71.3783        	6.09811        	3.47026        	1.6479         	6.15172        	6.88572        	10.5503        
21	69.1765        	4.85543        	3.02964        	1.49728        	5.92114        	6.92147        	10.9288        
22	76.234         	7.23316        	3.97616        	1.82423        	6.39601        	6.90322        	10.365         
23	70.4484        	8.29494        	4.24591        	1.88894        	6.35526        	6.61882        	9.69707        
24	45.9407        	4.5221         	2.71527        	1.30275        	4.5873         	4.73072        	6.73056        
25	46.4299        	4.9811         	2.84457        	1.34226        	4.59104        	4.6733         	6.60625        
