period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	99.3478        	7.09373        	5.51768        	3.06933        	14.431         	19.7541        	33.7005        
2	133.055        	8.16682        	6.0637         	3.19088        	13.4873        	16.2572        	26.0186        
3	95.035         	5.40504        	4.61646        	2.59724        	12.4696        	16.4432        	27.5478        
4	106.181        	23.2137        	12.3145        	5.50577        	18.0046        	18.3729        	24.9853        
5	97.7468        	12.1909        	6.97626        	3.2192         	10.9624        	12.7739        	19.139         
6	89.604         	13.2444        	6.20672        	2.85183        	9.15419        	9.70484        	14.0328        
7	28.7626        	54.4669        	12.1368        	4.06501        	7.92738        	6.17126        	7.47436        
8	44.4575        	29.2484        	8.5275         	3.1308         	7.29601        	6.54703        	8.31384        
9	53.3459        	39.4164        	11.9089        	4.13838        	9.41717        	8.29436        	10.6781        
10	69.2496        	18.2591        	7.10705        	2.74453        	8.14234        	8.37706        	12.6211        
11	107.247        	11.8995        	6.48266        	2.87614        	10.0196        	10.8905        	16.5655        
12	48.4142        	28.6147        	10.4862        	3.87896        	8.65757        	8.41543        	12.024         
13	43.5503        	21.0007        	6.49613        	2.50312        	6.28124        	5.59386        	7.59737        
14	59.9558        	11.03          	4.53186        	1.94194        	5.81659        	5.68912        	7.99193        
15	43.1183        	21.0233        	6.65809        	2.47247        	6.14182        	5.51934        	7.41474        
16	60.7572        	5.8334         	3.10557        	1.44453        	4.92307        	5.085          	7.31977        
17	50.6722        	14.1234        	5.19066        	2.12189        	5.9774         	5.58774        	7.65806        
18	58.3452        	11.6244        	4.68133        	2.00308        	6.41142        	6.95128        	10.4648        
19	52.1568        	19.0221        	6.35926        	2.44992        	6.63984        	6.42985        	9.16553        
20	46.6715        	16.6532        	5.65866        	2.22167        	5.95271        	5.45886        	7.35682        
21	47.7983        	11.1754        	4.24984        	1.72574        	5.09573        	5.06124        	7.41935        
22	71.716         	9.6116         	4.71686        	2.08867        	7.2283         	8.23601        	12.1886        
23	37.5433        	8.52494        	3.4965         	1.45732        	4.30081        	4.0847         	5.61096        
24	54.9076        	14.5378        	5.33592        	2.24702        	6.30428        	6.33571        	9.13442        
25	53.0284        	8.21088        	3.59135        	1.55863        	4.98517        	5.04144        	7.26671        
