period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	53.8477        	6.07468        	2.98277        	1.365          	4.55659        	4.70642        	6.80976        
2	56.6507        	5.91541        	3.19458        	1.38478        	4.73796        	5.26781        	7.9285         
3	91.0224        	5.85086        	3.30796        	1.61991        	6.39378        	7.78234        	12.0636        
4	42.0865        	5.41933        	2.76698        	1.20965        	3.88008        	3.88714        	5.4679         
5	63.1296        	4.11548        	2.46913        	1.1964         	4.4743         	4.972          	7.68139        
6	78.4757        	6.53576        	3.5935         	1.66904        	6.05855        	6.7662         	10.3944        
7	78.7694        	5.92672        	3.5658         	1.66136        	6.56759        	7.78126        	12.4849        
8	63.1544        	7.23935        	3.64806        	1.59243        	5.51189        	6.16777        	9.44089        
9	70.5953        	6.24985        	3.32852        	1.59602        	5.89716        	6.74338        	10.6901        
10	74.2705        	8.02832        	4.16171        	1.85322        	6.62224        	7.47058        	11.3597        
11	59.5328        	7.33183        	3.43419        	1.52165        	5.03316        	5.33326        	7.73399        
12	44.9982        	7.26462        	3.05868        	1.33887        	4.14292        	4.1211         	5.82847        
13	55.4972        	7.45726        	3.30346        	1.45234        	4.66974        	4.79718        	7.05467        
14	52.9279        	6.04559        	2.96356        	1.32243        	4.56455        	4.6805         	6.93205        
15	29.3519        	8.75779        	3.4319         	1.42258        	3.94643        	3.63305        	4.84423        
16	29.4417        	12.7139        	4.04899        	1.56805        	4.07016        	3.6738         	4.95227        
17	25.0425        	12.7547        	4.17384        	1.62648        	4.01094        	3.48361        	4.47127        
18	22.3799        	13.5757        	4.11372        	1.57875        	3.76589        	3.2341         	4.1558         
19	50.184         	16.2056        	5.85356        	2.19313        	6.10996        	5.87027        	8.2868         
20	36.1375        	13.3713        	4.59482        	1.76651        	4.64396        	4.26287        	5.832          
21	17.2545        	20.8779        	5.23264        	1.89696        	4.0266         	3.24542        	3.97915        
22	27.9402        	19.3337        	5.44039        	1.96594        	4.66279        	4.06926        	5.4333         
23	23.8657        	12.6078        	3.76114        	1.47032        	3.70001        	3.27646        	4.34578        
24	19.4067        	27.4339        	6.47183        	2.24924        	4.45633        	3.56329        	4.55782        
25	12.6769        	22.5148        	5.15891        	1.72569        	3.34727        	2.61615        	3.26037        
