period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	55.796	 5.141	 5.605	 3.684	28.525	54.397	133.677
2	65.887	 6.003	 6.617	 4.383	35.095	64.214	156.795
3	60.802	 5.530	 6.097	 4.038	32.376	59.268	145.219
4	71.711	 5.962	 6.280	 4.038	30.300	55.244	122.171
5	64.762	 5.897	 6.501	 4.306	34.493	63.121	154.303
6	60.834	 5.905	 6.584	 4.393	35.027	69.880	173.353
7	75.758	 6.209	 6.615	 4.285	33.380	58.370	129.978
8	74.303	 6.179	 6.509	 4.185	31.400	57.244	126.548
9	54.324	 5.165	 5.688	 3.895	32.788	71.963	186.213
10	47.734	 4.770	 5.379	 3.743	32.473	75.008	197.045
11	52.214	 4.961	 5.463	 3.741	31.512	69.193	179.429
12	49.986	 4.679	 5.215	 3.599	31.425	67.315	172.201
13	88.604	 6.805	 6.972	 4.552	36.104	67.051	151.327
14	100.152	 7.030	 6.861	 4.339	31.964	58.285	122.896
15	56.188	 5.078	 5.461	 3.680	30.037	63.892	161.577
16	91.348	 6.065	 5.776	 3.595	25.513	44.641	94.211
17	78.713	 5.529	 5.331	 3.344	23.689	45.288	95.045
18	92.587	 5.943	 5.636	 3.390	21.861	36.165	69.015
19	188.848	 7.736	 6.411	 3.559	19.511	27.527	50.907
20	153.063	 7.267	 6.252	 3.548	20.353	30.685	56.115
21	106.049	 6.032	 5.518	 3.247	20.107	31.273	60.902
22	96.845	 5.393	 4.994	 2.960	18.620	29.106	59.904
23	95.638	 5.710	 5.351	 3.195	20.395	33.468	64.499
24	131.506	 7.411	 6.861	 4.069	25.516	39.869	81.752
25	70.797	 5.308	 5.340	 3.332	23.278	41.779	86.032
