period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	 5.931	12.916	141.415	220.219	30.971	10.831	 8.306
2	 6.652	14.301	144.353	252.472	34.935	12.347	 9.427
3	 7.087	16.601	182.195	237.392	35.049	12.337	 9.581
4	 5.385	10.823	106.719	211.522	29.470	10.156	 7.721
5	 5.269	 9.323	78.657	229.763	31.727	10.949	 8.108
6	 6.586	11.698	90.258	288.744	41.136	13.910	10.255
7	 6.172	 7.391	37.452	148.769	67.709	18.070	12.357
8	 6.223	12.388	112.023	259.033	35.630	12.122	 9.136
9	 5.488	10.585	90.671	233.971	31.696	11.040	 8.248
10	 5.565	 9.884	76.228	243.790	34.754	11.753	 8.665
11	 6.444	10.362	73.002	278.479	46.719	14.770	10.645
12	 4.837	10.606	125.056	170.597	24.059	 8.555	 6.616
13	 4.688	11.101	130.860	148.369	22.161	 8.031	 6.264
14	 6.251	16.928	225.869	151.690	26.153	 9.729	 7.780
15	 6.768	17.315	217.417	177.296	28.732	10.876	 8.625
16	 5.258	12.453	146.968	166.578	24.861	 9.008	 7.026
17	 6.530	17.685	236.304	158.611	27.326	10.164	 8.128
18	 5.646	 9.990	84.402	246.681	34.009	11.732	 8.688
19	 6.002	11.384	98.147	260.056	36.021	12.273	 9.129
20	 6.823	15.985	176.057	229.204	33.761	11.878	 9.224
21	 9.463	32.744	408.747	110.431	30.152	12.546	10.449
22	 9.855	40.941	427.946	92.553	28.605	12.246	10.365
23	 6.481	13.031	128.967	255.594	35.501	12.226	 9.294
24	11.035	54.279	429.779	68.091	27.841	12.433	10.778
25	 8.071	22.020	290.760	181.398	32.134	12.362	 9.926
