period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	301.229	10.841	 9.082	 4.933	25.539	31.624	55.377
2	204.719	14.914	 8.710	 4.000	14.721	14.498	20.785
3	359.874	12.687	 9.762	 5.065	23.836	28.747	46.191
4	273.856	 9.276	 7.449	 3.940	19.352	23.857	40.353
5	95.798	19.834	 9.316	 3.896	11.939	10.508	14.081
6	268.968	18.354	10.751	 4.973	18.543	18.433	26.664
7	79.948	32.844	13.161	 5.154	14.255	11.859	15.021
8	247.516	16.800	 9.838	 4.550	16.974	16.872	24.410
9	259.047	23.873	13.341	 6.004	21.152	20.290	28.010
10	330.552	15.439	10.082	 4.893	20.095	20.966	31.905
11	170.465	19.512	10.447	 4.599	15.561	14.533	19.891
12	203.001	21.289	11.395	 5.054	17.333	16.332	22.016
13	344.735	13.640	 9.712	 4.842	21.008	23.248	35.758
14	252.139	17.092	10.009	 4.629	17.269	17.165	24.836
15	201.773	18.319	10.228	 4.600	16.232	15.564	21.495
16	231.752	19.396	10.842	 4.911	17.568	16.997	23.105
17	262.035	15.646	 9.712	 4.523	17.112	17.164	25.036
18	63.774	36.779	13.376	 5.100	13.497	10.964	13.672
19	72.152	35.405	13.533	 5.256	14.116	11.558	14.487
20	82.345	23.929	10.405	 4.222	12.212	10.402	13.294
21	61.868	30.317	11.232	 4.446	12.125	10.004	12.606
22	91.870	26.750	11.431	 4.675	13.714	11.779	15.376
23	88.257	31.142	12.889	 5.151	14.461	12.125	15.338
24	217.774	22.893	12.256	 5.436	18.639	17.564	23.675
25	353.876	17.992	11.817	 5.659	22.595	23.195	35.675
