27.03	24.69	4.57	386	0.4	14.02	8.47
27.41	24.88	4.03	387	4	16.19	11.99
27.18	25.07	3.88	383	4.8	20.85	13.52
27.34	25.05	5	388	-2.4	8.46	6.26
27.63	25.41	4.98	394	-1.2	20.05	8.27
27.94	25.49	3.93	395	-1.1	16.05	10.84
27.93	25.85	4.07	416	4	16.02	11.33
28.22	25.88	4.26	390	0	13.72	9.54
28.38	25.92	4.8	392	-0.1	14.22	9.47
28.01	25.97	4.7	395	2.4	16.96	10.36
28.55	26.26	3.96	400	4.2	20.7	14.67
28.51	26.13	5.71	384	-1.6	8.57	6.55
28.37	26.16	5.99	382	0.2	15.41	10.19
28.2	26.25	4.65	376	8.2	16.4	12.56
28.84	26.58	4.2	378	7.1	15.33	14.94
28.72	26.48	5.31	382	-1.2	16.15	8.35
28.77	26.63	4.43	376	1.3	17.63	12.36
28.91	26.75	4.64	394	0	21.16	12.29
29.11	26.91	4.37	393	-1.5	19.43	13.36
29.35	27.12	4.03	383	0.2	21.79	12.03
28.96	27.13	3.31	366	5	21.74	21.51
29.32	27.35	3.3	362	9.2	26.7	19.13
29.41	27.17	4.13	388	-3.4	10.86	10.55
29.55	27.45	3.14	356	5.3	26.47	17.84
29.29	27.55	3.61	375	-0.6	24.55	15.18
