10.74	9.19	5.59	273	5.5	14.87	10.57
10.47	9.11	5.47	280	10.9	17.77	15.55
10.51	8.99	6.02	286	2.8	10.92	8.85
11.1	9.34	5.15	274	5.5	15.18	12.31
11.29	9.7	5.83	271	5.4	12.72	12.36
11.06	9.6	5.96	264	7.3	13.1	11.88
11.61	9.83	5.17	265	4.8	13.87	12.11
11.63	10.06	5.81	285	1.5	12.25	8.33
11.32	9.94	5.41	284	8.5	18.12	9.9
11.4	9.81	4.94	266	4.9	14.45	12.53
11.69	10.14	5.01	276	7.8	14.11	13.56
11.63	9.95	5.18	304	8	13.39	12.39
12.1	10.27	4.97	279	5.9	23.05	12.65
11.94	10.18	6.58	283	2.6	18.58	8.94
11.4	10.01	5.76	290	5.1	14.69	10.07
11.91	10.23	4.48	273	3.9	18.46	13.89
11.62	10.16	5.68	286	3.3	12.79	9.88
11.93	10.28	5.12	293	4	17.61	11.44
12.1	10.51	5.55	289	6.4	22.3	11.21
11.9	10.34	5.61	288	4	11.72	10.26
11.76	10.31	4.52	288	4.5	15.12	10.7
11.76	10.31	5.83	310	3.4	9.78	8.54
11.65	10.26	5.45	302	3.1	11.5	9.36
11.87	10.42	4.87	302	2.6	14.8	10.57
11.7	10.27	5.89	299	3	12.55	9.38
