10.91	9.24	3.5	223	2.6	16.27	15.57
11.18	9.47	4.85	248	0.3	13.8	6.5
11.66	10.07	3.47	230	13.1	25.17	18.49
12	10.06	4.44	227	7.4	18.98	16.45
11.61	9.96	5.58	261	0.8	14.81	11.07
12	10.39	3.84	247	9	22.28	17.69
11.95	10.32	4.47	268	2	16.76	10.69
12.11	10.57	4.23	247	2.2	22.44	14.8
12.41	10.88	3.25	251	8.8	18.42	18.55
12.53	10.93	3.75	240	-0.4	14.4	13
12.87	11.28	4.4	254	7.4	25.56	15.45
12.62	11.15	3.97	253	6.1	16.27	13.3
12.78	11.31	3.74	236	4.3	19.72	14.68
12.8	11.48	4.21	247	7.5	17.4	13.04
12.68	11.4	4.38	251	4.6	17.87	9.29
13.14	11.72	4.01	250	11.9	28.87	17.06
13.21	11.8	4.26	246	8.6	22.27	12.53
13.64	11.97	4.68	271	10	21.87	13.98
13.15	11.84	4.57	270	10.4	15.83	11.68
12.87	11.67	5.54	265	4.6	12.97	7.67
12.77	11.55	5.47	269	2.5	7.99	6.3
13	11.67	4.83	264	3.8	8.86	7.74
12.92	11.64	4.52	267	3.1	9.14	7.25
13.01	11.73	3.72	253	-0.8	10	7.82
13.15	11.89	3.31	242	3.9	16.39	13.88
