12.41	11.04	4.46	339	0.5	11.38	8.04
12.49	11.05	5.07	347	-1.6	11.8	6.45
12.75	11.35	2.71	349	10.9	25.49	18.14
13.03	11.66	2.08	338	5	23.53	24.44
13.07	11.77	2.83	322	-0.5	21.57	12.93
13.27	11.95	3.53	313	8.9	15.43	15.3
13.35	11.91	3.45	321	5.3	12.01	14.24
13.39	11.97	4.33	306	2.7	12.04	12.16
13.67	12.23	3.26	323	8.6	21.81	17.12
13.7	12.18	4.92	318	-1.9	14.06	8.19
13.79	12.2	4.65	326	2.3	18.34	11.76
13.88	12.36	4.64	319	-0.9	13.78	10.47
14.13	12.41	5.12	317	3.4	14.23	9.72
13.81	12.34	5.6	316	1.6	8.44	8.08
13.74	12.29	5.48	316	3	10.56	6.81
13.63	12.18	5.44	307	2.3	12.04	9.12
13.5	12.08	5.61	325	1.8	9.64	7.45
13.33	12.02	5.49	325	3	8.85	8.64
13.25	11.93	5.62	323	5.5	8.44	10
13.25	11.96	5.59	319	3.2	11.27	10.16
13.16	11.83	5.83	325	2.3	10.43	8.34
13.14	11.74	5.93	327	2.2	8.76	7.8
12.8	11.58	5.93	321	1.7	6	5.65
12.69	11.47	4.85	330	1.9	9.24	6.86
12.87	11.61	3.72	328	2.6	13.08	9.92
