6.74	4.73	7.86	413	2.62	13.88	9.72
6.82	4.73	8.21	416	0.89	11.91	6.45
7.34	4.83	7.92	431	2.72	13.69	9.44
7.31	4.99	7.63	187	2.65	13.09	10.22
7.04	5.04	5.82	324	8.47	11.89	16.86
6.47	4.76	8.21	406	1.46	11.29	7.85
7	5.1	6.83	418	1.6	13.84	9.02
7.19	5.04	8.12	394	3.21	12.11	9.29
6.64	4.9	7.66	399	1.57	11.05	7.14
6.7	4.97	7.29	400	0.78	10.94	7.61
7.29	5.2	6.67	411	2.57	12.25	7.37
7.53	5.42	6.09	408	4.47	14.87	12.56
7.71	5.49	7.35	422	1.07	9.64	9.15
7.81	5.54	7.47	405	3.46	14.01	10.06
7.83	5.61	6.09	423	5.93	15	15.45
7.74	5.62	7.55	409	4.33	20.63	10.88
7.57	5.63	6.19	391	-0.14	13.13	7.83
7.42	5.62	7.35	411	-0.31	8.7	5.84
7.99	5.91	6.28	403	2.75	18.42	11.01
8.09	5.91	5.92	414	3.08	16.21	9.46
7.99	5.99	6.29	395	-0.61	13.84	8.29
7.8	5.99	4.85	401	2.87	13.7	8.54
7.86	6.01	6.99	410	-1.08	9.16	6.44
8.38	6.4	7.14	399	1.48	15.96	9.02
7.96	6.18	6.58	401	3.23	18.3	8.09
