4.62	3.6	3.57	244	4.8	11.77	8.77
4.71	3.69	3.37	244	3.3	10.92	7.35
4.74	3.75	4.04	248	2.5	9.24	6.62
4.72	3.76	3.76	250	5.6	11.02	10.16
4.98	3.9	3.3	248	5.9	10.99	10.49
5.23	4.09	3.53	248	4.2	10.68	9.29
5.22	4.06	4.32	251	3.3	9.45	8.86
5.2	4.05	4.09	255	6.6	13.93	11.89
5.18	4.08	4.87	256	4.2	14.21	10.09
5.06	4.06	4.98	258	2.6	9.42	6.61
5.16	4.11	3.96	261	1.8	8.39	7.03
5.25	4.19	2.71	257	5.7	14.37	10.22
5.37	4.25	3.83	242	4.3	10.77	7.34
5.35	4.28	3.54	248	7.3	13.41	12.23
5.35	4.28	3.79	243	4.5	10.92	10.52
5.4	4.33	4.24	244	3.2	9.23	7.57
5.51	4.42	3.53	247	5.4	11.75	9.57
5.61	4.47	3.24	254	1.3	12.05	9.12
5.62	4.51	2.62	253	5.5	14.94	10.72
5.58	4.51	2.41	241	8.1	20.73	13.79
5.54	4.49	2.28	233	3.7	11.13	7.69
5.5	4.49	2.69	232	3	11.2	5.84
5.47	4.5	2.41	225	4.5	9.27	7.1
5.45	4.54	2.51	228	2.7	7.05	6.21
5.47	4.58	2.54	213	3.3	9.27	6.56
